"","state.abb","name","government_ID","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geoID","original_name","CITY","COUNTY_AREA_NAME"
"1","IL","amity township","14305300100000",92081,2021,63220,0,0,0,63220,0,0,0,0,0,0,300,0,0,255778,-11044,267122,0,0,0,256078,"1600000US1701348","township of amity","CORNELL","LIVINGSTON"
"2","IL","anchor township","14305700200000",92082,2021,120718,0,0,120718,0,0,0,0,0,0,0,9330,98688,0,335834,89637,354215,0,0,0,443852,"1600000US1701374","township of anchor","ANCHOR","MCLEAN"
"3","IL","abington township","14306600100000",92073,2021,100112,0,0,0,0,100112,0,0,0,0,0,14034,15842,0,139175,48654,120397,0,0,0,169051,"1600000US1700126","township of abington","SEATON","MERCER"
"4","IL","alton township","14306000200000",71181,2021,0,0,0,0,0,0,0,286820,0,0,0,6872,0,0,895395,371495,530772,0,0,0,902267,"1600000US1701127","township of alton","ALTON","MADISON"
"5","IL","allin township","14305700100000",112282,2021,1740,0,1740,0,0,0,0,0,0,0,0,0,0,0,280326,76854,203472,0,0,0,280326,"1600000US1700893","township of allin","STANFORD","MCLEAN"
"6","IL","algonquin township","14305600200000",71161,2021,354183,0,338958,0,0,0,0,162468,15225,0,0,69887,0,0,4573669,-177447,4821003,0,0,0,4643556,"1600000US1700698","township of algonquin","CRYSTAL LAKE","MCHENRY"
"7","IL","addison township","14302200100000",71149,2021,87156,0,87156,0,0,0,0,99346,0,0,0,7100,303696,0,5272584,701926,4881454,0,0,0,5583380,"1600000US1700250","township of addison","ADDISON","DUPAGE"
"8","CT","bolton","07300700200000",68152,2021,13572698,9327776,2032077,0,0,0,0,0,1855131,0,357714,1013351,8682543,50581,17654135,138019,27262591,0,0,0,27400610,"1600000US0906260","town of bolton","BOLTON","TOLLAND"
"9","CT","bridgewater","07300300300000",68169,2021,657397,23454,589388,0,6995,0,0,0,0,0,37560,317939,29064,282868,6713643,231377,7112137,0,0,0,7343514,"1600000US0908210","town of bridgewater","BRIDGEWATER","LITCHFIELD"
"10","IL","andover township","14303700200000",92084,2021,80943,0,0,0,80943,0,0,0,0,0,0,0,0,0,267359,28826,238533,0,0,0,267359,"1600000US1701504","township of andover","ANDOVER","HENRY"
"11","CT","burlington","07300200400000",68171,2021,8914972,5270719,2604279,0,0,732995,0,693329,112454,0,194525,1608749,4113768,1275339,32531734,1495779,38033811,0,0,0,39529590,"1600000US0910100","town of burlington","BURLINGTON","HARTFORD"
"12","CT","sharon","07300301900000",68368,2021,6278949,4642000,943756,0,0,661528,0,0,0,0,31665,1126821,1652187,343883,10949516,1574626,12497781,0,0,0,14072407,"1600000US0967960","town of sharon","SHARON","LITCHFIELD"
