"","state.abb","name","government_ID","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geoID","original_name","CITY","COUNTY_AREA_NAME"
"1","PA","north coventry township","39301502900000",66476,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US4254936","township of north coventry","POTTSTOWN","CHESTER"
"2","MI","buchanan township","23301100600000",154804,2020,90461,0,90461,0,0,0,0,0,0,0,0,87585,1858,0,731920,152562,668801,0,0,0,821363,"1600000US2611420","township of buchanan","BUCHANAN","BERRIEN"
"3","MI","waverly township (van buren county)","23308001800000",81103,2020,10386,0,10386,0,0,0,0,0,0,0,0,129554,11662,0,484126,151076,474266,0,0,0,625342,"1600000US2684820","township of waverly","PAW PAW","VAN BUREN"
"4","MI","geneva township","23308000900000",154983,2020,4491,0,4491,0,0,0,0,0,0,0,0,142819,0,0,180893,37313,286399,0,0,0,323712,"1600000US2631840","township of geneva","BANGOR","VAN BUREN"
"5","MI","thornapple township","23300801400000",80919,2020,343855,215000,68507,0,0,0,0,0,0,0,0,653241,5890,0,1393207,145573,1906765,288945,140116,0,2052338,"1600000US2679620","township of thornapple","MIDDLEVILLE","BARRY"
"6","MI","west branch township","23306501400000",81145,2020,1651,0,1651,0,0,0,0,0,0,0,0,3367,2076,0,107134,20471,92106,0,0,0,112577,"1600000US2685600","township of west branch","WEST BRANCH","OGEMAW"
"7","ME","sidney","20300602100000",106474,2020,1884165,1428572,401913,0,0,0,0,0,45726,0,7954,52747,240932,0,6379186,-302392,6975257,0,0,0,6672865,"1600000US2368385","town of sidney","AUGUSTA","KENNEBEC"
"8","ME","woodland","20300207000000",106521,2020,219653,0,74716,34616,0,110321,0,0,0,0,0,0,43696,0,1457615,20476,1480835,0,0,0,1501311,"1600000US2387215","town of woodland","WOODLAND","AROOSTOOK"
"9","ME","troy","20301402300000",116435,2020,5680,0,5680,0,0,0,0,0,0,0,0,31242,32640,0,1335981,-365464,1765327,0,0,0,1399863,"1600000US2377625","town of troy","TROY","WALDO"
"10","ME","westmanland","20300206700000",106514,2020,11082,0,11082,0,0,0,0,0,0,0,0,0,9852,0,285038,53110,241780,0,0,0,294890,"1600000US2383540","town of westmanland","WESTMANLAND","AROOSTOOK"
"11","ME","wallagrass","20300206400000",106503,2020,7052,0,7052,0,0,0,0,0,0,0,0,21091,26801,0,854676,26195,876373,0,0,0,902568,"1600000US2379865","town of wallagrass","WALLAGRASS","AROOSTOOK"
"12","ME","washburn","20300206500000",106506,2020,411290,0,17052,0,0,302096,92142,0,0,0,0,0,216549,0,2312794,226479,2302864,0,0,0,2529343,"1600000US2380285","town of washburn","WASHBURN","AROOSTOOK"
"13","ME","addison","20301500100000",106238,2020,458740,0,26712,0,425733,0,0,0,6295,0,0,83262,36205,0,2474485,-173062,2767014,0,0,0,2593952,"1600000US2300380","town of addison","ADDISON","WASHINGTON"
"14","ME","edinburg","20301001800000",106323,2020,4306,0,4306,0,0,0,0,0,0,0,0,0,0,0,248772,32914,215858,0,0,0,248772,"1600000US2322710","town of edinburg","EDINBURG","PENOBSCOT"
"15","MI","millen township","23300101000000",148623,2020,3585,0,3585,0,0,0,0,0,0,0,0,6432,11067,0,131775,19965,129309,0,0,0,149274,"1600000US2654060","township of millen","BARTON CITY","ALCONA"
"16","MI","hawes township","23300100700000",148621,2020,5255,0,5255,0,0,0,0,0,0,0,0,7402,6117,0,377470,52982,338007,0,0,0,390989,"1600000US2637220","township of hawes","LINCOLN","ALCONA"
"17","MI","caledonia township","23300100200000",154820,2020,10252,0,10252,0,0,0,0,0,0,0,0,26961,5063,0,519681,160765,390940,0,0,0,551705,"1600000US2612460","township of caledonia","SPRUCE","ALCONA"
"18","MI","mikado township","23300100900000",148622,2020,2811,0,2811,0,0,0,0,0,0,0,0,22792,11891,9764,213447,3705,254189,0,0,0,257894,"1600000US2653880","township of mikado","MIKADO","ALCONA"
"19","MI","eden township","23305300400000",154916,2020,8929,0,8929,0,0,0,0,0,0,0,0,3226,11945,0,167249,-1347,183767,0,0,0,182420,"1600000US2624820","township of eden","CUSTER","MASON"
"20","ME","abbot","20301100100000",106236,2020,8937,0,8937,0,0,0,0,0,0,0,0,32142,31025,0,1349166,-8498,1420831,0,0,0,1412333,"1600000US2300100","town of abbot","ABBOT","PISCATAQUIS"
"21","ME","wade","20300206300000",106500,2020,52131,0,90,0,0,52041,0,0,0,0,0,0,14764,0,420462,-4750,439976,0,0,0,435226,"1600000US2379270","town of wade","WADE","AROOSTOOK"
"22","ME","cornish","20301600600000",106299,2020,459191,454628,4563,0,0,0,0,0,0,0,0,75960,30320,0,2644136,64560,2685856,0,0,0,2750416,"1600000US2314485","town of cornish","CORNISH","YORK"
"23","ME","deblois","20301501700000",106307,2020,14860,0,14860,0,0,0,0,0,0,0,0,439,11590,0,393543,26691,378880,0,0,0,405572,"1600000US2316865","town of deblois","DEBLOIS","WASHINGTON"
"24","ME","alna","20300800100000",106242,2020,416920,0,125674,0,0,291246,0,0,0,0,0,93669,36963,26600,1877281,131633,1902880,0,0,0,2034513,"1600000US2301010","town of alna","ALNA","LINCOLN"
"25","ME","bremen","20300800400000",106266,2020,24027,0,24027,0,0,0,0,0,0,0,0,40037,93132,0,2517874,249032,2402010,0,0,0,2651043,"1600000US2306855","town of bremen","BREMEN","LINCOLN"
"26","ME","porter","20300902500000",106449,2020,201851,171526,18093,0,0,0,0,0,12232,0,0,16892,213464,0,2375387,303936,2301807,0,0,0,2605743,"1600000US2360405","town of porter","PORTER","OXFORD"
"27","ME","lagrange","20301003300000",106374,2020,4522,0,4522,0,0,0,0,0,0,0,0,3765,13762,0,765453,17394,765587,0,0,0,782981,"1600000US2337760","town of lagrange","LAGRANGE","PENOBSCOT"
"28","ME","chester","20301000900000",106291,2020,6854,0,6854,0,0,0,0,0,0,0,0,41346,3689,0,1758135,126166,1677004,0,0,0,1803170,"1600000US2312525","town of chester","CHESTER","PENOBSCOT"
"29","ME","dennysville","20301501800000",106312,2020,213694,0,209384,0,0,4309,0,0,0,0,0,2809,221969,0,463563,-41888,730229,0,0,0,688341,"1600000US2317355","town of dennysville","DENNYSVILLE","WASHINGTON"
"30","ME","canaan","20301300600000",106276,2020,196157,0,123492,4518,0,68147,0,0,0,0,0,34659,68306,0,2508717,52418,2559264,0,0,0,2611682,"1600000US2309935","town of canaan","CANAAN","SOMERSET"
"31","ME","robbinston","20301503700000",106459,2020,336547,0,5870,0,0,330677,0,0,0,0,0,14585,282459,0,910722,-307337,1515103,0,0,0,1207766,"1600000US2363275","town of robbinston","ROBBINSTON","WASHINGTON"
"32","ME","clifton","20301001000000",106293,2020,42547,0,42547,0,0,0,0,0,0,0,0,11289,24643,0,1707602,221098,1522436,0,0,0,1743534,"1600000US2313365","town of clifton","CLIFTON","PENOBSCOT"
"33","ME","easton","20300201800000",106320,2020,563044,0,89996,0,0,0,377204,0,79816,0,16028,80920,627322,0,4989000,-38845,5736087,0,0,0,5697242,"1600000US2321380","town of easton","EASTON","AROOSTOOK"
"34","ME","moscow","20301302000000",106411,2020,17374,0,17374,0,0,0,0,0,0,0,0,3458,47685,0,1856604,-110426,2018173,0,0,0,1907747,"1600000US2347455","town of moscow","MOSCOW","SOMERSET"
"35","ME","albion","20300600100000",106239,2020,108198,0,23484,84714,0,0,0,0,0,0,0,68460,66707,0,2681716,-191424,3008307,0,0,0,2816883,"1600000US2300590","town of albion","ALBION","KENNEBEC"
"36","ME","mars hill","20300203900000",106396,2020,1172853,900828,21355,71115,0,0,148189,0,0,0,31366,148423,74632,0,2688760,-299820,3211635,0,0,0,2911815,"1600000US2343710","town of mars hill","MARS HILL","AROOSTOOK"
"37","ME","new limerick","20300204600000",106417,2020,55,0,55,0,0,0,0,0,0,0,0,0,0,10804,1161162,-55323,1227289,0,0,0,1171966,"1600000US2348960","town of new limerick","NEW LIMERICK","AROOSTOOK"
"38","ME","franklin","20300501400000",106333,2020,146722,126691,18690,0,0,0,0,0,1340,0,0,146865,22937,0,3083100,-38692,3291593,104008,143,0,3252902,"1600000US2326350","town of franklin","FRANKLIN","HANCOCK"
"39","ME","parkman","20301101500000",116412,2020,1516,0,1516,0,0,0,0,0,0,0,0,38267,0,0,1402567,35640,1405194,0,0,0,1440834,"1600000US2356765","town of parkman","PARKMAN","PISCATAQUIS"
"40","ME","perham","20300205100000",106442,2020,16092,0,16092,0,0,0,0,0,0,0,0,0,24312,0,671049,98459,596902,0,0,0,695361,"1600000US2358060","town of perham","PERHAM","AROOSTOOK"
"41","ME","lakeville","20301003400000",106376,2020,42,0,42,0,0,0,0,0,0,0,0,0,11744,0,369602,61262,320085,0,0,0,381347,"1600000US2338005","town of lakeville","SPRINGFIELD","PENOBSCOT"
"42","ME","dixmont","20301001400000",106314,2020,0,0,0,5029,0,51069,0,0,0,0,0,34765,35476,4580,1730700,255557,1549964,0,0,0,1805521,"1600000US2317950","town of dixmont","DIXMONT","PENOBSCOT"
"43","ME","waltham","20300503600000",106504,2020,4195,0,4195,0,0,0,0,0,0,0,0,12,5676,0,723091,6949,721830,0,0,0,728779,"1600000US2380040","town of waltham","WALTHAM","HANCOCK"
"44","ME","bridgewater","20300200700000",106267,2020,88478,0,4975,0,0,82056,0,0,0,0,1447,32311,543309,23852,529690,-81465,1210627,0,0,0,1129162,"1600000US2307065","town of bridgewater","BRIDGEWATER","AROOSTOOK"
"45","ME","isle au haut","20300700600000",106363,2020,365611,329669,29042,0,0,0,0,0,6903,0,0,14275,36162,0,767729,-72918,891084,0,0,0,818166,"1600000US2335135","town of isle au haut","ISLE AU HAUT","KNOX"
"46","ME","wesley","20301504300000",106510,2020,9262,0,3109,0,0,0,6153,0,0,0,0,25796,23770,0,402443,-39522,491531,0,0,0,452009,"1600000US2381685","town of wesley","MACHIAS","WASHINGTON"
"47","ME","west gardiner","20300602700000",106512,2020,812784,703269,6981,0,0,75740,0,0,26794,0,0,52223,31089,0,4770595,64087,4789819,0,0,0,4853907,"1600000US2382945","town of west gardiner","WEST GARDINER","KENNEBEC"
"48","ME","blaine","20300200600000",106258,2020,289079,0,552,0,0,275977,0,0,0,0,12550,36109,27872,0,1138889,101362,1101508,0,0,0,1202870,"1600000US2305385","town of blaine","BLAINE","AROOSTOOK"
"49","ME","enfield","20301001900000",106324,2020,871936,0,303344,537529,0,0,0,0,18908,0,12155,82632,32096,0,3370521,-303844,3789093,40185,0,0,3485249,"1600000US2323620","town of enfield","ENFIELD","PENOBSCOT"
"50","IL","alton township","14306000200000",71181,2020,0,0,0,0,0,0,16673,0,0,0,0,56132,0,0,927689,349172,634649,0,0,0,983821,"1600000US1701127","township of alton","ALTON","MADISON"
"51","IL","campton township","14304500600000",71505,2020,26888852,25919318,512737,0,0,100000,130079,0,155310,0,71408,215600,499506,395000,7496830,3907349,4699587,0,0,0,8606936,"1600000US1710903","township of campton","ST CHARLES","KANE"
"52","IL","antioch township","14304900100000",71198,2020,0,0,0,0,0,0,0,0,0,0,0,17679,0,144865,3444503,-219126,3826173,0,0,0,3607047,"1600000US1701608","township of antioch","ANTIOCH","LAKE"
"53","IL","bourbonnais township","14304600200000",71387,2020,102099,0,102099,0,0,0,0,122181,0,0,0,0,0,0,2383835,-210613,2594448,0,0,0,2383835,"1600000US1707484","township of bourbonnais","BOURBONNAIS","KANKAKEE"
"54","IL","lockport township","14309901100000",72786,2020,443305,0,70387,0,150388,0,0,515895,0,0,222530,444046,68944,0,3801057,-73822,4387869,434015,49,0,4314047,"1600000US1744238","township of lockport","LOCKPORT","WILL"
"55","IL","ela township","14304900600000",71913,2020,41650,0,41650,0,0,0,0,806,0,0,0,805541,7100,0,3788881,462460,4139062,0,0,0,4601522,"1600000US1722853","township of ela","LAKE ZURICH","LAKE"
"56","IL","manteno township","14304600700000",72887,2020,126138,0,45065,0,0,0,81073,0,0,0,0,782,0,0,1407275,342438,1065619,0,0,0,1408057,"1600000US1746513","township of manteno","MANTENO","KANKAKEE"
"57","IL","dupage township","14309900400000",71856,2020,752218,0,114825,27046,0,0,599327,0,0,0,11020,301384,0,0,2468656,45339,2724701,0,0,0,2770040,"1600000US1721241","township of dupage","BOLINGBROOK","WILL"
"58","IL","lyons township","14301601200000",72831,2020,1754284,546069,63582,0,1110000,0,0,80447,0,0,34633,37742,0,0,3753562,1059536,2731768,0,0,0,3791304,"1600000US1745447","township of lyons","COUNTRYSIDE","COOK"
"59","IL","elgin township","14304500800000",71923,2020,318300,0,109187,0,0,0,199111,0,0,0,10002,3816,0,0,3637292,-22418,3663526,0,0,0,3641108,"1600000US1723087","township of elgin","ELGIN","KANE"
"60","IL","cherry valley township","14310100200000",71599,2020,13008,0,1019,0,0,0,0,230368,0,0,11989,0,138285,0,1318598,252144,1204739,0,0,0,1456883,"1600000US1713087","township of cherry valley","ROCKFORD","WINNEBAGO"
"61","IL","cuba township","14304900400000",71740,2020,419370,0,128679,0,62148,0,16784,0,171764,0,39995,235597,960910,0,3047361,-471217,4715085,0,0,0,4243868,"1600000US1718004","township of cuba","BARRINGTON","LAKE"
"62","IL","cordova township","14308100800000",112381,2020,21032,0,21032,0,0,0,0,46020,0,0,0,56265,0,0,849759,470431,435593,0,0,0,906024,"1600000US1716379","township of cordova","CORDOVA","ROCK ISLAND"
"63","IL","danville township","14309200500000",71767,2020,391872,0,49757,0,0,283797,0,572681,0,0,58318,3275,0,0,2968131,441506,2529900,0,0,0,2971406,"1600000US1718576","township of danville","DANVILLE","VERMILION"
