"","state.abb","name","population","id","missing_2020","missing_2021","Notes","source"
"1","AK","yakutat city and borough",684,NA,"missing","missing","",""
"2","AK","bristol bay borough",829,NA,"missing","missing","",""
"3","AK","skagway municipality",1240,NA,"missing","missing","",""
"4","AK","lake and peninsula borough",1452,NA,"missing","missing","",""
"5","AK","denali borough",1614,NA,"missing","missing","",""
"6","AK","haines borough",2086,NA,"missing","missing","",""
"7","AK","wrangell city and borough",2127,NA,"missing","missing","",""
"8","AK","hoonah-angoon census area",2362,NA,"missing","missing","",""
"9","AK","copper river census area",2616,NA,"missing","missing","",""
"10","AK","petersburg borough",3405,NA,"missing","missing","",""
"11","AK","aleutians east borough",3425,NA,"missing","missing","",""
"12","AK","dillingham census area",4835,NA,"missing","missing","",""
"13","AK","aleutians west census area",5222,NA,"missing","missing","",""
"14","AK","yukon-koyukuk census area",5296,NA,"missing","missing","",""
"15","AK","prince of wales-hyder census area",5739,NA,"missing","missing","",""
"16","AK","southeast fairbanks census area",6820,NA,"missing","missing","",""
"17","AK","chugach census area",7077,NA,"missing","missing","",""
"18","AK","northwest arctic borough",7790,NA,"missing","missing","",""
"19","AK","kusilvak census area",8373,NA,"missing","missing","",""
"20","AK","sitka city and borough",8425,NA,"missing","missing","",""
"21","AK","nome census area",10028,NA,"missing","missing","",""
"22","AK","north slope borough",11002,NA,"missing","missing","",""
"23","AK","kodiak island borough",13047,NA,"missing","missing","",""
"24","AK","ketchikan gateway borough",13918,NA,"missing","missing","",""
"25","AK","bethel census area",18673,NA,"missing","missing","",""
"26","AK","juneau city and borough",32202,NA,"missing","missing","",""
"27","AK","kenai peninsula borough",58927,NA,"missing","missing","",""
"28","AK","fairbanks north star borough",95328,NA,"missing","missing","",""
"29","AK","matanuska-susitna borough",107515,NA,"missing","missing","",""
"30","AK","anchorage municipality",290866,NA,"missing","missing","",""
"31","AL","greene county",7702,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"32","AL","perry county",8458,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"33","AL","lowndes county",10273,NA,"missing","","Not found on internet as of September 10, 2023",""
"34","AL","bullock county",10296,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"35","AL","coosa county",10341,103555,"","missing","",""
"36","AL","wilcox county",10432,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"37","AL","conecuh county",11553,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"38","AL","sumter county",12196,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"39","AL","choctaw county",12619,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"40","AL","lamar county",13956,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"41","AL","clay county",14211,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"42","AL","hale county",14768,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"43","AL","cleburne county",15063,NA,"missing","missing","",""
"44","AL","washington county",15327,NA,"missing","missing","",""
"45","AL","henry county",17175,103456,"","missing","",""
"46","AL","pickens county",18922,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"47","AL","butler county",19031,NA,"missing","","Not found on internet as of September 10, 2023",""
"48","AL","marengo county",19266,103619,"","missing","",""
"49","AL","macon county",19473,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"50","AL","monroe county",19704,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"51","AL","randolph county",22092,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"52","AL","bibb county",22183,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"53","AL","clarke county",22981,103611,"","missing","",""
"54","AL","winston county",23488,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"55","AL","barbour county",24960,103496,"","missing","",""
"56","AL","cherokee county",24972,103450,"","missing","",""
"57","AL","geneva county",26696,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"58","AL","marion county",29166,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"59","AL","franklin county",32075,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"60","AL","pike county",32906,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"61","AL","chambers county",34645,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"62","AL","escambia county",36680,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"63","AL","covington county",37507,NA,"missing","","Not found on internet as of September 10, 2023",""
"64","AL","dallas county",38174,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"65","AL","chilton county",45051,103590,"","missing","",""
"66","AL","dale county",49253,NA,"missing","","Not found on internet as of September 10, 2023",""
"67","AL","jackson county",52545,103591,"","missing","",""
"68","AL","coffee county",53547,NA,"missing","","Not found on internet as of September 10, 2023",""
"69","AL","colbert county",57299,1017587,"","missing","",""
"70","AL","blount county",59102,95992,"","missing","",""
"71","AL","russell county",59259,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"72","AL","walker county",65132,NA,"missing","","Not found on internet as of September 10, 2023",""
"73","AL","dekalb county",71648,95993,"","missing","",""
"74","AL","st clair county",91652,NA,"missing","missing","",""
"75","AL","etowah county",103447,31553,"","missing","",""
"76","AL","houston county",107286,95999,"","missing","",""
"77","AL","morgan county",123288,96004,"","missing","",""
"78","AL","lee county",174742,NA,"missing","missing","only available till 2019","http://www.leeco.us/business/commission_office/accounting_and_finance.php"
"79","AL","tuscaloosa county",231534,103560,"","missing","",""
"80","AL","baldwin county",233219,NA,"missing","missing","uploaded file to portal",""
"81","AL","madison county",390502,103480,"","missing","",""
"82","AR","calhoun county",4738,96050,"","missing","",""
"83","AR","lafayette county",6299,NA,"missing","","",""
"84","AR","dallas county",6442,NA,"missing","","",""
"85","AR","monroe county",6774,NA,"missing","missing","",""
"86","AR","newton county",7193,NA,"missing","","",""
"87","AR","cleveland county",7550,96070,"","missing","",""
"88","AR","searcy county",7842,31654,"","missing","",""
"89","AR","nevada county",8285,NA,"missing","missing","",""
"90","AR","pike county",10172,NA,"missing","","",""
"91","AR","desha county",11320,96091,"","missing","",""
"92","AR","little river county",11975,101786,"","missing","",""
"93","AR","clay county",14528,NA,"missing","","",""
"94","AR","sevier county",15779,103929,"","missing","",""
"95","AR","van buren county",15801,110916,"","missing","",""
"96","AR","phillips county",16443,NA,"missing","","",""
"97","AR","madison county",16546,91948,"","missing","",""
"98","AR","marion county",16877,NA,"missing","missing","",""
"99","AR","arkansas county",17107,NA,"missing","missing","",""
"100","AR","grant county",18022,96131,"","missing","",""
"101","AR","hempstead county",19981,NA,"missing","","",""
"102","AR","yell county",20214,110918,"","missing","",""
"103","AR","logan county",21103,NA,"missing","missing","",""
"104","AR","ouachita county",22614,NA,"missing","missing","",""
"105","AR","union county",38926,91956,"","missing","",""
"106","AR","miller county",42579,NA,"missing","","",""
"107","AR","greene county",45864,196356,"","missing","",""
"108","AR","lonoke county",74046,59771,"","missing","",""
"109","AR","garland county",100249,NA,"missing","","",""
"110","AR","washington county",246756,66931,"","missing","",""
"111","AR","benton county",286586,91942,"","missing","",""
"112","AZ","la paz county",16575,31624,"","missing","",""
"113","AZ","apache county",65911,31612,"","missing","",""
"114","CA","sutter county",99464,NA,"missing","missing","uploaded file to portal",""
"115","CA","humboldt county",136261,31679,"","missing","",""
"116","CA","kings county",152790,46942,"","missing","",""
"117","CA","imperial county",179595,31681,"","missing","",""
"118","CA","san francisco county",870393,NA,"missing","missing","",""
"119","CA","sacramento county",1586465,NA,"missing","missing","",""
"120","CO","san juan county",710,NA,"missing","missing","",""
"121","CO","hinsdale county",788,NA,"missing","missing","uploaded file to portal","https://hinsdalecounty.colorado.gov/financial-information-19"
"122","CO","mineral county",871,NA,"missing","missing","only available till 2018","https://gcfmld.colorado.gov/about-us/financial-information"
"123","CO","jackson county",1378,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"124","CO","kiowa county",1452,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"125","CO","sedgwick county",2390,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"126","CO","washington county",4808,111041,"","missing","",""
"127","CO","kit carson county",7066,91981,"","missing","",""
"128","CO","lake county",7404,31972,"","missing","",""
"129","CO","broomfield county",74484,NA,"missing","missing","CITY AND COUNTY OF BROOMFIELD, uploaded","https://www.broomfield.org/3923/Accounting-Reports"
"130","CO","boulder county",330922,31954,"","missing","",""
"131","CO","denver county",717556,NA,"missing","missing","",""
"132","CT","northeastern connecticut planning region",95274,NA,"missing","missing","",""
"133","CT","northwest hills planning region",112269,NA,"missing","missing","",""
"134","CT","lower connecticut river valley planning region",173927,NA,"missing","missing","",""
"135","CT","southeastern connecticut planning region",279522,NA,"missing","missing","",""
"136","CT","greater bridgeport planning region",324932,NA,"missing","missing","",""
"137","CT","naugatuck valley planning region",449896,NA,"missing","missing","",""
"138","CT","south central connecticut planning region",569237,NA,"missing","missing","",""
"139","CT","western connecticut planning region",619146,NA,"missing","missing","",""
"140","CT","capitol planning region",973159,NA,"missing","missing","",""
"141","DC","district of columbia",670868,NA,"missing","missing","",""
"142","FL","liberty county",7805,NA,"missing","","uploaded file to portal",""
"143","FL","baker county",28115,68550,"","missing","",""
"144","FL","st johns county",277085,NA,"missing","missing","",""
"145","FL","st lucie county",331428,NA,"missing","missing","",""
"146","FL","duval county",997604,NA,"missing","missing","",""
"147","GA","webster county",2352,96555,"","missing","",""
"148","GA","clay county",2830,NA,"missing","missing","can't find",""
"149","GA","glascock county",2894,NA,"missing","missing","only till 2017",""
"150","GA","echols county",3720,NA,"missing","","echols county consolidated government",""
"151","GA","schley county",4534,NA,"missing","missing","only till 2019",""
"152","GA","warren county",5208,NA,"missing","","uploaded files to portal",""
"153","GA","stewart county",5304,105204,"","missing","",""
"154","GA","calhoun county",5573,NA,"missing","","uploaded files to portal",""
"155","GA","miller county",5988,NA,"missing","missing","only till 2017",""
"156","GA","randolph county",6368,96523,"","missing","",""
"157","GA","treutlen county",6396,NA,"missing","","uploaded files to portal",""
"158","GA","marion county",7530,NA,"missing","missing","only till 2019",""
"159","GA","taylor county",7819,NA,"missing","missing","only till 2016",""
"160","GA","twiggs county",8011,96547,"","missing","",""
"161","GA","atkinson county",8311,90328,"","missing","",""
"162","GA","jenkins county",8666,NA,"missing","missing","can't find",""
"163","GA","hancock county",8708,NA,"missing","missing","only till 2018",""
"164","GA","wilcox county",8792,NA,"missing","","uploaded files to portal",""
"165","GA","wilkinson county",8824,96558,"","missing","",""
"166","GA","johnson county",9186,NA,"missing","missing","only till 2015",""
"167","GA","chattahoochee county",9481,NA,"missing","missing","cusseta-chattahoochee county unified government",""
"168","GA","irwin county",9650,NA,"missing","","uploaded files to portal",""
"169","GA","lanier county",9926,96490,"","missing","",""
"170","GA","candler county",11022,70763,"","missing","",""
"171","GA","bacon county",11108,NA,"missing","","only 2021",""
"172","GA","heard county",11448,NA,"missing","missing","only till 2016",""
"173","GA","crawford county",12103,90305,"","missing","",""
"174","GA","screven county",14078,NA,"missing","missing","uploaded files to portal",""
"175","GA","jeff davis county",14799,NA,"missing","","only till 2018",""
"176","GA","oglethorpe county",14867,96507,"","missing","",""
"177","GA","brooks county",16268,92025,"","missing","",""
"178","GA","long county",16269,NA,"missing","","uploaded files to portal",""
"179","GA","brantley county",18043,NA,"missing","missing","only till 2018",""
"180","GA","banks county",18082,NA,"missing","","uploaded files to portal",""
"181","GA","berrien county",18148,NA,"missing","","only till 2016",""
"182","GA","appling county",18366,111289,"","missing","",""
"183","GA","pike county",18936,NA,"missing","missing","https://ted.cviog.uga.edu/financial-documents/financial-reports?og_group_ref_target_id%5B%5D=171&field_fiscal_year_value%5Bmin%5D%5Byear%5D=&field_fiscal_year_value%5Bmax%5D%5Byear%5D=",""
"184","GA","elbert county",19667,52686,"","missing","uploaded files to portal",""
"185","GA","dodge county",19874,96467,"","missing","",""
"186","GA","hart county",25871,111295,"","missing","",""
"187","GA","toombs county",27081,NA,"missing","","uploaded files to portal",""
"188","GA","peach county",28040,70941,"","missing","",""
"189","GA","madison county",30269,96492,"","missing","",""
"190","GA","pickens county",33339,92041,"","missing","",""
"191","GA","murray county",40012,105202,"","missing","",""
"192","GA","clarke county",128550,NA,"missing","missing","consolidated government of",""
"193","GA","bibb county",157025,NA,"missing","missing","consolidated government of",""
"194","GA","houston county",164343,NA,"missing","missing","",""
"195","GA","richmond county",206526,NA,"missing","missing","consolidated government of Augusta-Richmond County, reported in Augusta report",""
"196","GA","muscogee county",206998,NA,"missing","missing","consolidated in Columbus","https://www.columbusga.gov/portals/finance/accounting-resources/ACFR_FY22.pdf"
"197","HI","kalawao county",80,NA,"missing","missing","can't find",""
"198","IA","obrien county",14154,NA,"missing","missing","",""
"199","IA","carroll county",20721,NA,"missing","missing","can't find",""
"200","ID","clark county",791,NA,"missing","missing","can't find",""
