"","state.abb","name","population","id","missing_2020","missing_2021","Notes","source"
"1","AK","yakutat city and borough",684,NA,"missing","missing","",""
"2","AK","bristol bay borough",829,NA,"missing","missing","",""
"3","AK","skagway municipality",1240,NA,"missing","missing","",""
"4","AK","lake and peninsula borough",1452,NA,"missing","missing","",""
"5","AK","denali borough",1614,NA,"missing","missing","",""
"6","AK","haines borough",2086,NA,"missing","missing","",""
"7","AK","wrangell city and borough",2127,NA,"missing","missing","",""
"8","AK","hoonah-angoon census area",2362,NA,"missing","missing","",""
"9","AK","copper river census area",2616,NA,"missing","missing","",""
"10","AK","petersburg borough",3405,NA,"missing","missing","",""
"11","AK","aleutians east borough",3425,NA,"missing","missing","",""
"12","AK","dillingham census area",4835,NA,"missing","missing","",""
"13","AK","aleutians west census area",5222,NA,"missing","missing","",""
"14","AK","yukon-koyukuk census area",5296,NA,"missing","missing","",""
"15","AK","prince of wales-hyder census area",5739,NA,"missing","missing","",""
"16","AK","southeast fairbanks census area",6820,NA,"missing","missing","",""
"17","AK","chugach census area",7077,NA,"missing","missing","",""
"18","AK","northwest arctic borough",7790,NA,"missing","missing","",""
"19","AK","kusilvak census area",8373,NA,"missing","missing","",""
"20","AK","sitka city and borough",8425,NA,"missing","missing","",""
"21","AK","nome census area",10028,NA,"missing","missing","",""
"22","AK","north slope borough",11002,NA,"missing","missing","",""
"23","AK","kodiak island borough",13047,NA,"missing","missing","",""
"24","AK","ketchikan gateway borough",13918,NA,"missing","missing","",""
"25","AK","bethel census area",18673,NA,"missing","missing","",""
"26","AK","juneau city and borough",32202,NA,"missing","missing","",""
"27","AK","kenai peninsula borough",58927,NA,"missing","missing","",""
"28","AK","fairbanks north star borough",95328,NA,"missing","missing","",""
"29","AK","matanuska-susitna borough",107515,NA,"missing","missing","",""
"30","AK","anchorage municipality",290866,NA,"missing","missing","",""
"31","AL","greene county",7702,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"32","AL","perry county",8458,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"33","AL","lowndes county",10273,NA,"missing","","Not found on internet as of September 10, 2023",""
"34","AL","bullock county",10296,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"35","AL","coosa county",10341,103555,"","missing","",""
"36","AL","wilcox county",10432,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"37","AL","conecuh county",11553,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"38","AL","sumter county",12196,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"39","AL","choctaw county",12619,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"40","AL","crenshaw county",13165,94046,"","","",""
"41","AL","lamar county",13956,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"42","AL","clay county",14211,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"43","AL","hale county",14768,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"44","AL","cleburne county",15063,NA,"missing","missing","",""
"45","AL","washington county",15327,NA,"missing","missing","",""
"46","AL","fayette county",16330,104956,"","","",""
"47","AL","henry county",17175,103456,"","missing","",""
"48","AL","pickens county",18922,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"49","AL","butler county",19031,NA,"missing","","Not found on internet as of September 10, 2023",""
"50","AL","marengo county",19266,103619,"","missing","",""
"51","AL","macon county",19473,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"52","AL","monroe county",19704,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"53","AL","randolph county",22092,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"54","AL","bibb county",22183,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"55","AL","clarke county",22981,103611,"","missing","",""
"56","AL","winston county",23488,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"57","AL","barbour county",24960,103496,"","missing","",""
"58","AL","cherokee county",24972,103450,"","missing","",""
"59","AL","geneva county",26696,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"60","AL","marion county",29166,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"61","AL","franklin county",32075,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"62","AL","pike county",32906,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"63","AL","lawrence county",33089,110361,"","","",""
"64","AL","chambers county",34645,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"65","AL","escambia county",36680,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"66","AL","covington county",37507,NA,"missing","","Not found on internet as of September 10, 2023",""
"67","AL","dallas county",38174,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"68","AL","tallapoosa county",41286,103563,"","","",""
"69","AL","chilton county",45051,103590,"","missing","",""
"70","AL","dale county",49253,NA,"missing","","Not found on internet as of September 10, 2023",""
"71","AL","jackson county",52545,103591,"","missing","",""
"72","AL","coffee county",53547,NA,"missing","","Not found on internet as of September 10, 2023",""
"73","AL","colbert county",57299,1017587,"","missing","",""
"74","AL","autauga county",58902,103500,"","","",""
"75","AL","blount county",59102,95992,"","missing","",""
"76","AL","russell county",59259,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"77","AL","walker county",65132,NA,"missing","","Not found on internet as of September 10, 2023",""
"78","AL","dekalb county",71648,95993,"","missing","",""
"79","AL","talladega county",81428,103554,"","","",""
"80","AL","elmore county",87853,103463,"","","only 2020","https://www.elmoreco.org/chief-financial-officer"
"81","AL","cullman county",88131,91385,"","","",""
"82","AL","st clair county",91652,NA,"missing","missing","",""
"83","AL","lauderdale county",94025,103511,"","","",""
"84","AL","marshall county",97696,1017660,"","","Not found on internet as of September 10, 2023",""
"85","AL","etowah county",103447,31553,"","missing","",""
"86","AL","limestone county",104190,94062,"","","",""
"87","AL","houston county",107286,95999,"","missing","",""
"88","AL","calhoun county",116239,91384,"","","",""
"89","AL","morgan county",123288,96004,"","missing","",""
"90","AL","lee county",174742,NA,"missing","missing","only available till 2019","http://www.leeco.us/business/commission_office/accounting_and_finance.php"
"91","AL","shelby county",223881,91387,"","","",""
"92","AL","montgomery county",228322,96002,"","","",""
"93","AL","tuscaloosa county",231534,103560,"","missing","",""
"94","AL","baldwin county",233219,NA,"missing","missing","uploaded file to portal",""
"95","AL","madison county",390502,103480,"","missing","",""
"96","AL","mobile county",414353,40888,"","","",""
"97","AL","jefferson county",674675,1265667,"","","",""
"98","AR","calhoun county",4738,96050,"","missing","",""
"99","AR","woodruff county",6228,110917,"","","Arkansas does not follow federal standard GAAP. They use ""balanse sheet"" instead of statement of net position (page, section C Basis of Accounting). Use col General, rows: total liabilities, total revenues. Note: ""Accrual basis of accounting for government-wide financial statements, including depreciation expense, modified accrual basis of accounting for fund financial statements, separate identification of special and extraordinary items, inclusion of capital assets and debt in the financial statements, inclusion of the net pension liability in the financial statement, and applicable note disclusures"".","There is a portal here to store all report, but the financial report has no statement of net position. https://arklegaudit.gov/reports"
"100","AR","lafayette county",6299,NA,"missing","","",""
"101","AR","dallas county",6442,NA,"missing","","",""
"102","AR","monroe county",6774,NA,"missing","missing","",""
"103","AR","newton county",7193,NA,"missing","","",""
"104","AR","cleveland county",7550,96070,"","missing","",""
"105","AR","searcy county",7842,31654,"","missing","",""
"106","AR","prairie county",8246,110914,"","","",""
"107","AR","nevada county",8285,NA,"missing","missing","",""
"108","AR","montgomery county",8488,103879,"","","",""
"109","AR","lee county",8528,101783,"","","",""
"110","AR","scott county",9828,48886,"","","",""
"111","AR","perry county",10000,110908,"","","",""
"112","AR","chicot county",10157,96061,"","","",""
"113","AR","pike county",10172,NA,"missing","","",""
"114","AR","bradley county",10488,96043,"","","",""
"115","AR","desha county",11320,96091,"","missing","",""
"116","AR","little river county",11975,101786,"","missing","",""
"117","AR","fulton county",12057,96116,"","","",""
"118","AR","stone county",12350,90209,"","","",""
"119","AR","howard county",12755,96158,"","","",""
"120","AR","lincoln county",12889,101785,"","","",""
"121","AR","izard county",13597,96165,"","","",""
"122","AR","clay county",14528,NA,"missing","","",""
"123","AR","sevier county",15779,103929,"","missing","",""
"124","AR","van buren county",15801,110916,"","missing","",""
"125","AR","lawrence county",16212,110902,"","","",""
"126","AR","phillips county",16443,NA,"missing","","",""
"127","AR","madison county",16546,91948,"","missing","",""
"128","AR","jackson county",16755,96166,"","","",""
"129","AR","cross county",16796,96083,"","","",""
"130","AR","marion county",16877,NA,"missing","missing","",""
"131","AR","arkansas county",17107,NA,"missing","missing","",""
"132","AR","franklin county",17135,66861,"","","",""
"133","AR","drew county",17314,1036034,"","","",""
"134","AR","sharp county",17319,103715,"","","",""
"135","AR","grant county",18022,96131,"","missing","",""
"136","AR","randolph county",18590,188484,"","","",""
"137","AR","ashley county",18962,96017,"","","",""
"138","AR","polk county",19187,110912,"","","",""
"139","AR","hempstead county",19981,NA,"missing","","",""
"140","AR","yell county",20214,110918,"","missing","",""
"141","AR","conway county",20729,96076,"","","",""
"142","AR","logan county",21103,NA,"missing","missing","",""
"143","AR","clark county",21387,96067,"","","",""
"144","AR","ouachita county",22614,NA,"missing","missing","",""
"145","AR","columbia county",22742,96074,"","","",""
"146","AR","poinsett county",22952,196358,"","","",""
"147","AR","st francis county",23013,110915,"","","",""
"148","AR","cleburne county",24696,96069,"","","",""
"149","AR","johnson county",25722,101775,"","","",""
"150","AR","carroll county",28242,101739,"","","",""
"151","AR","hot spring county",33075,96156,"","","",""
"152","AR","boone county",37383,96040,"","","",""
"153","AR","independence county",37936,91946,"","","",""
"154","AR","union county",38926,91956,"","missing","",""
"155","AR","mississippi county",40544,110904,"","","",""
"156","AR","baxter county",41687,96024,"","","",""
"157","AR","miller county",42579,NA,"missing","","",""
"158","AR","greene county",45864,196356,"","missing","",""
"159","AR","crittenden county",48086,196355,"","","",""
"160","AR","crawford county",60147,96081,"","","",""
"161","AR","pope county",63403,110913,"","","",""
"162","AR","jefferson county",66833,1035660,"","","",""
"163","AR","lonoke county",74046,59771,"","missing","",""
"164","AR","white county",76851,108535,"","","",""
"165","AR","garland county",100249,NA,"missing","","",""
"166","AR","craighead county",111603,96080,"","","",""
"167","AR","faulkner county",123811,101759,"","","",""
"168","AR","saline county",123815,66923,"","","",""
"169","AR","sebastian county",127800,90247,"","","",""
"170","AR","washington county",246756,66931,"","missing","",""
"171","AR","benton county",286586,91942,"","missing","",""
"172","AR","pulaski county",399246,31653,"","","",""
"173","AZ","greenlee county",9526,31616,"","","",""
"174","AZ","la paz county",16575,31624,"","missing","",""
"175","AZ","graham county",38638,31615,"","","",""
"176","AZ","santa cruz county",47705,31621,"","","",""
"177","AZ","gila county",53351,101829,"","","",""
"178","AZ","apache county",65911,31612,"","missing","",""
"179","AZ","navajo county",106762,43282,"","","",""
"180","AZ","cochise county",125522,31613,"","","",""
"181","AZ","coconino county",145180,31614,"","","",""
"182","AZ","yuma county",204528,1036042,"","","",""
"183","AZ","mohave county",214176,31618,"","","",""
"184","AZ","yavapai county",237216,1036041,"","","",""
"185","AZ","pinal county",429446,31620,"","","",""
"186","AZ","pima county",1045175,31619,"","","",""
"187","AZ","maricopa county",4440232,31617,"","","",""
"188","CA","alpine county",1204,43891,"","","",""
"189","CA","sierra county",3228,44617,"","","",""
"190","CA","modoc county",8663,103707,"","","",""
"191","CA","mono county",13226,31694,"","","",""
"192","CA","trinity county",16089,31730,"","","",""
"193","CA","mariposa county",17118,44894,"","","",""
"194","CA","inyo county",19001,43635,"","","",""
"195","CA","plumas county",19749,146520,"","","",""
"196","CA","colusa county",21858,31672,"","","",""
"197","CA","del norte county",27601,31674,"","","",""
"198","CA","glenn county",28896,31678,"","","",""
"199","CA","lassen county",32317,42807,"","","",""
"200","CA","amador county",40532,31668,"","","",""
"201","CA","siskiyou county",43991,31720,"","","",""
"202","CA","calaveras county",45346,145846,"","","",""
"203","CA","tuolumne county",55374,31732,"","","uploaded file to portal",""
"204","CA","san benito county",64521,165549,"","","",""
"205","CA","tehama county",65682,31728,"","","",""
"206","CA","lake county",68195,31684,"","","",""
"207","CA","yuba county",81994,59283,"","","",""
"208","CA","mendocino county",91361,232977,"","","",""
"209","CA","sutter county",99464,NA,"missing","missing","uploaded file to portal",""
"210","CA","nevada county",102249,31699,"","","",""
"211","CA","humboldt county",136261,31679,"","missing","",""
"212","CA","napa county",137485,31697,"","","",""
"213","CA","kings county",152790,46942,"","missing","",""
"214","CA","madera county",156343,31689,"","","",""
"215","CA","imperial county",179595,31681,"","missing","",""
"216","CA","shasta county",181984,165553,"","","",""
"217","CA","el dorado county",191220,165542,"","","",""
"218","CA","butte county",210135,31669,"","","",""
"219","CA","yolo county",216291,31735,"","","",""
"220","CA","marin county",261282,31690,"","","",""
"221","CA","santa cruz county",270462,43492,"","","",""
"222","CA","merced county",281814,43041,"","","",""
"223","CA","san luis obispo county",281879,31713,"","","",""
"224","CA","placer county",405889,165547,"","","",""
