,state,name,census_id,id,year,category,total_assets,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,has_unconfirmed
1,FL,Florida,,32221,2021,General Purpose,183625000000,76561985000,,,,,,,,,,,,,,46735056000,,128032435000,,,,137000000000,
2,OK,Oklahoma,,37320,2021,General Purpose,29968762000,7276923000,,,,,,"321,161,000",,,,,,,,1.32E+11,,22793625000,,,,23456031000,
3,CA,California,,31665,2021,General Purpose,419462000000,481000000000,,,,,,94255760000,,,,,72682113000,2.71E+11,1847263000,5.74E+11,,569000000000,,,,574000000000,
4,ND,North Dakota,,44439,2021,General Purpose,38943465036,10188478469,,,,,,"1,671,264,270","42,115,540",,,,,,,,,9831987470,,,,13356908000,
5,IN,State of Indiana,NA,196751,2021,General Purpose,38207125000,18873711000,0,6347078000,762395000,0,0,11392203000,0,98219000,0,207820000,4058834000,20093246000,1326554000,26144484000,4656050000,46967068000,0,0,0,51623118000,FALSE
6,OH,State of Ohio,NA,36835,2021,General Purpose,91083752000,56784830000,18697205000,18006191000,42311000,0,0,3644138000,0,633413000,0,625038000,14517870000,52902201000,1485791000,30541423000,4157517000,95289768000,1176954000,3464053000,0,99447285000,FALSE
7,PA,Commonwealth of Pennsylvania,NA,37697,2021,General Purpose,91304334000,88111700000,16320590000,26705351000,1305215000,0,0,15638886000,0,20243943000,0,934388000,18719759000,65151841000,101626000,43951447000,7610221000,120000000000,0,0,0,128000000000,FALSE
8,VA,Commonwealth of Virginia,NA,39392,2021,General Purpose,72053311000,34379093000,7505396000,15040531000,27768000,185545000,0,5234981000,0,1230725000,0,361096000,9008984000,27209018000,1467020000,31800293000,4576192000,64909123000,0,0,0,69485315000,FALSE
9,ME,State of Maine,NA,33873,2021,General Purpose,10517354000,9546245000,1056847000,1112683000,49487000,336993000,0,2692100000,5039000,2931246000,0,69304000,1388919000,6144073000,0,5501227000,885974000,12148245000,137068000,19379000,0,13034219000,FALSE
10,NC,State of North Carolina,NA,40620,2021,General Purpose,95776578000,29389268000,8983578000,9474875000,8320000,0,226176000,3122174000,0,5429965000,9458000,623072000,7609299000,30448288000,1302560000,35874093000,9162555000,66071685000,0,0,0,75234240000,FALSE
11,TN,State of Tennessee,NA,38453,2021,General Purpose,54501665000,9053756000,1771713000,3985378000,11904000,0,207343000,1638313000,24146000,561603000,0,348948000,4202933000,21497865000,844303000,19508989000,4674653000,41379437000,0,0,0,46054090000,FALSE
12,SD,State of South Dakota,NA,38382,2021,General Purpose,9556840000,1472340000,556179000,636370000,108922000,0,0,0,898000,0,0,70074000,873505000,3298087000,7965000,2400676000,746622000,5833611000,0,0,0,6580233000,FALSE
13,ID,State of Idaho,NA,32673,2021,General Purpose,22044972000,4619376000,829328000,1949499000,16849000,0,497437000,564007000,0,100958000,0,90481000,2570196000,6365283000,31449000,5847083000,2084319000,12729692000,0,0,0,14814011000,FALSE
14,MN,State of Minnesota,NA,34704,2021,General Purpose,52272292000,24774908000,8332095000,7261740000,45411000,1199325000,0,3239396000,0,687901000,0,561800000,4559912000,24558683000,222208000,30655996000,3270804000,56725995000,0,0,0,59996799000,FALSE
15,GA,State of Georgia,NA,32436,2021,General Purpose,73304004000,44216533000,11599136000,13756082000,2998496000,0,354618000,8456148000,90146000,6370648000,254679000,681405000,8610842000,38935895000,1608176000,29555690000,5447132000,73263471000,0,0,0,78710603000,FALSE
16,AR,State of Arkansas,NA,49082,2021,General Purpose,33196845000,13893664000,3289342000,1784111000,227764000,0,183555000,2485079000,0,2944665000,0,308084000,4787035000,12830711000,839156000,10648065000,1967201000,27137766000,0,0,0,29104967000,FALSE
17,KY,Commonwealth of Kentucky,NA,90208,2021,General Purpose,37741186000,41626348000,5566569000,3523315000,98141000,0,557126000,26615447000,0,3195447000,0,274075000,4149499000,16331955000,1033962000,18009001000,6164020000,33360397000,0,0,0,39524417000,FALSE
18,IL,State of Illinois,NA,399484,2021,General Purpose,61507898000,270000000000,31325180000,22967916000,11166000,0,5332680000,1.52E+11,0,56669748000,0,448385000,10080575000,53704315000,1843946000,54085467000,-4771534000,124000000000,0,0,0,120000000000,FALSE
19,MT,State of Montana,NA,64951,2021,General Purpose,15684545000,5563416000,164409000,1766702000,16064000,0,97528000,2959075000,36545000,143844000,0,117654000,1213061000,4509784000,532549000,3894458000,867750000,9282102000,0,0,0,10149852000,FALSE
20,NE,State of Nebraska,NA,35432,2021,General Purpose,21141065000,3885879000,0,2770566000,37825000,0,0,464824000,196308000,22304000,0,140201000,1066721000,5065004000,5663000,8142739000,2028346000,12251781000,0,0,0,14280127000,FALSE
21,CO,State of Colorado,NA,31946,2021,General Purpose,56898947000,35468430000,4938279000,11422957000,192222000,0,118641000,9244732000,0,1260020000,0,695124000,9666591000,24590640000,727760000,16063144000,4792708000,46255427000,0,0,0,51048135000,FALSE
22,TX,State of Texas,NA,38611,2021,General Purpose,444107000000,274000000000,59870422000,44435834000,306148000,6970309000,4524991000,76785107000,0,73972610000,0,2118895000,41942238000,1.43E+11,202046000,69195021000,39382962000,215000000000,0,0,0,254000000000,FALSE
23,NY,State of New York,NA,42220,2021,General Purpose,204039000000,232000000000,2.27E+09,4.77E+10,2.80E+07,2.25E+09,8.13E+10,1.39E+10,2.30E+07,7.79E+10,3.00E+06,1.59E+09,4.10E+10,8.65E+10,6.00E+10,1.01E+11,-4.91E+09,293000000000,0,0,0,288000000000,FALSE
