,state,name,census_id,id,year,category,total_assets,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,has_unconfirmed
1,AZ,Phoenix,3.2007E+12,31636,2021,General Purpose,"20,352,605,000",14097669000,7632598000,1042790000,1166000,211804000,0,4652055000,0,136443000,73892000,176765000,1493581000,792500000,474452000,2200787000,819332000,4141988000,0,0,0,4961320000,FALSE
2,TX,San Antonio,4.42015E+13,38656,2021,General Purpose,"8,993,719,000",6346636000,3686846000,243244000,5998000,0,78462000,819657000,0,933170000,0,253550000,455961000,450540000,109679000,1721505000,139307000,2598378000,0,0,0,2737685000,FALSE
3,TX,Houston,4.42101E+13,43770,2021,General Purpose,"28,225,302,000",22569340000,14187175000,718518000,81906000,0,307910000,1779562000,0,2629644000,0,543297000,1928908000,1360452000,679022000,2370832000,1368574000,4970640000,0,0,0,6339214000,FALSE
4,CA,San Diego,5.2037E+12,44032,2021,General Purpose,"16,116,199,000",8481413000,2510599000,732235000,239672000,273111000,98730000,3513674000,0,469975000,0,97719000,1610162000,430170000,136162000,1543273000,-36298000,3756065000,0,0,0,3719767000,FALSE
5,IL,Chicago,1.42016E+13,32795,2021,General Purpose,"43,688,854,000",70203052000,27636274000,5590602000,0,215000000,0,33696585000,0,2000017000,0,0,3969542000,1002587000,129395000,7807584000,1300131000,11608977000,0,0,0,12909108000,FALSE
6,TX,Austin,4.42227E+13,38712,2021,General Purpose,"18,901,919,000",15516665000,7257062000,593022000,21843000,0,178600000,2178003000,0,4346367000,0,180500000,2588072000,214943000,250249000,1382782000,-191392000,4627438000,0,0,0,4436046000,FALSE
7,TX,Dallas,4.42057E+13,38669,2021,General Purpose,"15,830,082,000",14023129000,5887723000,599300000,185446000,0,180981000,5702885000,0,266160000,0,135807000,1293953000,269411000,111859000,1765420000,949004000,2491639000,0,0,0,3440643000,FALSE
8,CA,Los Angeles,5.2019E+12,149487,2021,General Purpose,"77,307,776,000",56315847000,33744378000,3947445000,42799000,110792000,330600000,11279212000,0,2484602000,0,1059539000,10177883000,2123367000,654564000,5407744000,1025505000,17338053000,0,0,0,18363558000,FALSE
9,NY,New York,3.32031E+13,122258,2021,General Purpose,"126,302,078,000",2.83975E+11,99441465000,36958227000,1598706000,0,0,9598353000,0,1.17979E+11,0,6372726000,5669230000,28108585000,675115000,69723042000,9325259000,94850713000,0,0,0,1.04176E+11,FALSE
,,Philadelphia,,,,,"14,122,297,000","18,803,884,000",,,,,,"4,721,351,000",,"2,088,155,000",,,,,,,,,,,,,
