,id,FIPS,state.name,name,population,total_assets,total_liabilities,revenues,lib_rev_ratio,lib_per_capita,state.abb
1,31687,6037,California,Los Angeles County,10014009,37390440000,52768946000,29454082000,179.156648,5269.51254,CA
2,1035781,17031,Illinois,Cook County,5275541,4885774017,21176754633,6061200953,349.3821571,4014.138954,IL
3,38630,48201,Texas,Harris County,4731145,20564102118,8947139580,4137326161,216.2541514,1891.115064,TX
4,31617,4013,Arizona,Maricopa County,4420568,6308842833,2834203888,2499817863,113.3764155,641.1402082,AZ
5,31710,6073,California,San Diego County,3298634,8897009000,6570540000,5306058000,123.8309118,1991.897252,CA
6,31700,6059,California,Orange County,3186989,9724166000,7044193000,4801992000,146.6931432,2210.297243,CA
7,69702,12086,Florida,Miami-Dade County,2701767,29642725000,27654208000,9453906000,292.516215,10235.60063,FL
8,38622,48113,Texas,Dallas County,2613539,2327500000,942867000,1062432000,88.74610328,360.7625522,TX
9,149444,6065,California,Riverside County,2418185,9090883000,8461146000,5091044000,166.1966779,3498.965546,CA
10,42969,53033,Washington,King County,2269675,14914538000,7102405000,5016201000,141.5893223,3129.260797,WA
