,state,name,census_id,id,year,category,total_assets,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,has_unconfirmed
1,TX,Harris County,4.41E+13,38630,2021,General Purpose,21172043513,10515266381,4898632352,1035427458,0,27921034,297792000,725190179,114259,3473489714,0,47393178,830748214,734816590,342259819,2252060147,-336808572,4496693342,0,0,0,4159884770,FALSE
2,CA,Orange County,5.10E+12,31700,2021,General Purpose,10340300000,6559088000,625536000,993231000,33987000,384433000,37406000,3547702000,0,305411000,0,189566000,914405000,3221552000,147270000,1313414000,818879000,4777762000,0,0,0,5596641000,FALSE
3,AZ,Maricopa County,3.10E+12,31617,2021,General Purpose,6798224324,3153531275,0,759547144,47481302,0,0,2061212073,0,6798975,18133053,0,319377143,634413147,22051183,1942301597,355017166,2563125904,0,0,0,2918143070,FALSE
4,FL,Miami-Dade County,1.01E+13,69702,2021,General Purpose,30916783000,25973866000,18977109000,1896558000,474841000,203610000,15001000,1434132000,36837000,745948000,0,872382000,4528938000,1862650000,353621000,3630758000,268067000,10107900000,0,0,0,10375967000,FALSE
5,IL,Cook County,1.41E+13,1035781,2021,General Purpose,5642933604,23004219360,3217601817,1740684456,0,0,6871000,14984908546,0,2105154520,0,119196084,3715251023,563985659,161490108,2357238329,161672292,6636292827,0,0,0,6797965119,FALSE
6,TX,Dallas County,4.41E+13,38622,2021,General Purpose,2667309000,1211575000,131558000,465875000,128752000,0,0,246648000,0,194549000,0,40447000,164341000,300933000,0,687868000,102303000,1050839000,0,0,0,1153142000,FALSE
7,CA,San Diego County,5.10E+12,31710,2021,General Purpose,9566441000,7621970000,950495000,1342602000,90595000,2551000,0,4478532000,0,92006000,0,140382000,630817000,3758523000,24242000,1520365000,44375000,5889572000,0,0,0,5933947000,FALSE
8,CA,Los Angeles County,5.10E+12,31687,2021,General Purpose,41203426000,64141944000,3090919000,6834441000,156824000,521807000,0,17394887000,0,29368129000,0,2305374000,7429396000,14225574000,71540000,9971698000,-481735000,32179943000,1221715000,48525000,201000,31698208000,FALSE
9,CA,Riverside County,NA,149444,2021,General Purpose,9381070000,8050732000,1818732000,1482611000,347660000,0,99798000,2983082000,0,187718000,0,310705000,1782174000,2741915000,30014000,1155617000,782845000,4926875000,680060000,0,559000,5709720000,FALSE
10,WA,King County,4.81E+13,42969,2021,General Purpose,17781704000,7316533000,5092278000,1104880000,9342000,104183000,0,105494000,0,106488000,0,208786000,2028232000,1092838000,72645000,2263138000,1316855000,4139998000,0,0,0,5456853000,FALSE
