"","state.name","id","county","population","FIPS"
"1","Alabama","1600000US0117968","county line town",311,"0117968"
"2","Alabama","0500000US01063","greene county",7730,"01063"
"3","Alabama","0500000US01105","perry county",8511,"01105"
"4","Alabama","0500000US01085","lowndes county",10311,"01085"
"5","Alabama","0500000US01011","bullock county",10357,"01011"
"6","Alabama","0500000US01131","wilcox county",10600,"01131"
"7","Alabama","0500000US01035","conecuh county",11597,"01035"
"8","Alabama","0500000US01119","sumter county",12345,"01119"
"9","Alabama","0500000US01023","choctaw county",12665,"01023"
"10","Alabama","0500000US01075","lamar county",13972,"01075"
"11","Alabama","0500000US01027","clay county",14236,"01027"
"12","Alabama","0500000US01065","hale county",14785,"01065"
"13","Alabama","0500000US01029","cleburne county",15056,"01029"
"14","Alabama","0500000US01129","washington county",15388,"01129"
"15","Alabama","0500000US01013","butler county",19051,"01013"
"16","Alabama","0500000US01107","pickens county",19123,"01107"
"17","Alabama","0500000US01087","macon county",19532,"01087"
"18","Alabama","0500000US01099","monroe county",19772,"01099"
"19","Alabama","0500000US01111","randolph county",21967,"01111"
"20","Alabama","0500000US01007","bibb county",22293,"01007"
"21","Alabama","0500000US01133","winston county",23540,"01133"
"22","Alabama","0500000US01061","geneva county",26659,"01061"
"23","Alabama","0500000US01093","marion county",29341,"01093"
"24","Alabama","0500000US01059","franklin county",32113,"01059"
"25","Alabama","0500000US01109","pike county",33009,"01109"
"26","Alabama","0500000US01017","chambers county",34772,"01017"
"27","Alabama","0500000US01053","escambia county",36757,"01053"
"28","Alabama","0500000US01039","covington county",37570,"01039"
"29","Alabama","0500000US01047","dallas county",38462,"01047"
"30","Alabama","0500000US01045","dale county",49326,"01045"
"31","Alabama","0500000US01031","coffee county",53465,"01031"
"32","Alabama","0500000US01113","russell county",59183,"01113"
"33","Alabama","0500000US01127","walker county",65342,"01127"
"34","Alabama","0500000US01051","elmore county",87977,"01051"
"35","Alabama","0500000US01115","st clair county",91103,"01115"
"36","Alabama","0500000US01095","marshall county",97612,"01095"
"37","Alabama","0500000US01081","lee county",174241,"01081"
"38","Alabama","0500000US01003","baldwin county",231767,"01003"
"39","Arkansas","0500000US05073","lafayette county",6308,"05073"
"40","Arkansas","0500000US05039","dallas county",6482,"05039"
"41","Arkansas","0500000US05095","monroe county",6799,"05095"
"42","Arkansas","0500000US05101","newton county",7225,"05101"
"43","Arkansas","0500000US05099","nevada county",8310,"05099"
"44","Arkansas","0500000US05109","pike county",10171,"05109"
"45","Arkansas","0500000US05021","clay county",14552,"05021"
"46","Arkansas","0500000US05107","phillips county",16568,"05107"
"47","Arkansas","0500000US05089","marion county",16826,"05089"
"48","Arkansas","0500000US05057","hempstead county",20065,"05057"
"49","Arkansas","0500000US05083","logan county",21131,"05083"
"50","Arkansas","0500000US05103","ouachita county",22650,"05103"
"51","Arkansas","0500000US05091","miller county",42600,"05091"
"52","Arkansas","0500000US05051","garland county",100180,"05051"
"53","California","0500000US06109","tuolumne county",55620,"06109"
"54","California","0500000US06101","sutter county",99633,"06101"
"55","California","0500000US06067","sacramento county",1585055,"06067"
"56","Colorado","0500000US08111","san juan county",705,"08111"
"57","Colorado","0500000US08053","hinsdale county",788,"08053"
"58","Colorado","0500000US08079","mineral county",865,"08079"
"59","Colorado","0500000US08057","jackson county",1379,"08057"
"60","Colorado","0500000US08061","kiowa county",1446,"08061"
"61","Colorado","0500000US08017","cheyenne county",1748,"08017"
"62","Colorado","0500000US08115","sedgwick county",2404,"08115"
"63","Colorado","0500000US08095","phillips county",4530,"08095"
"64","Colorado","0500000US08014","broomfield county",74112,"08014"
"65","Connecticut","0500000US09015","windham county",116418,"09015"
"66","Connecticut","0500000US09013","tolland county",149788,"09013"
"67","Connecticut","0500000US09007","middlesex county",164245,"09007"
"68","Connecticut","0500000US09005","litchfield county",185186,"09005"
"69","Connecticut","0500000US09011","new london county",268555,"09011"
"70","Connecticut","0500000US09009","new haven county",864835,"09009"
"71","Connecticut","0500000US09003","hartford county",899498,"09003"
"72","Connecticut","0500000US09001","fairfield county",957419,"09001"
"73","Florida","0500000US12077","liberty county",7974,"12077"
"74","Georgia","1600000US1332528","georgetown-quitman county unified government",2235,"1332528"
"75","Georgia","1600000US1381128","webster county unified government",2348,"1381128"
"76","Georgia","0500000US13061","clay county",2848,"13061"
"77","Georgia","0500000US13125","glascock county",2884,"13125"
"78","Georgia","0500000US13101","echols county",3697,"13101"
"79","Georgia","1600000US1326156","echols county consolidated government",3697,"1326156"
"80","Georgia","0500000US13249","schley county",4547,"13249"
"81","Georgia","0500000US13301","warren county",5215,"13301"
"82","Georgia","0500000US13037","calhoun county",5573,"13037"
"83","Georgia","0500000US13201","miller county",6000,"13201"
"84","Georgia","0500000US13283","treutlen county",6406,"13283"
"85","Georgia","0500000US13197","marion county",7498,"13197"
"86","Georgia","0500000US13269","taylor county",7816,"13269"
"87","Georgia","0500000US13165","jenkins county",8674,"13165"
"88","Georgia","0500000US13141","hancock county",8735,"13141"
"89","Georgia","0500000US13315","wilcox county",8766,"13315"
"90","Georgia","0500000US13167","johnson county",9189,"13167"
"91","Georgia","0500000US13053","chattahoochee county",9565,"13053"
"92","Georgia","1600000US1321017","cusseta-chattahoochee county unified government",9565,"1321017"
"93","Georgia","0500000US13155","irwin county",9666,"13155"
"94","Georgia","0500000US13005","bacon county",11140,"13005"
"95","Georgia","0500000US13149","heard county",11412,"13149"
"96","Georgia","0500000US13251","screven county",14067,"13251"
"97","Georgia","0500000US13161","jeff davis county",14779,"13161"
"98","Georgia","0500000US13183","long county",16168,"13183"
"99","Georgia","0500000US13025","brantley county",18021,"13025"
"100","Georgia","0500000US13011","banks county",18035,"13011"
"101","Georgia","0500000US13019","berrien county",18160,"13019"
"102","Georgia","0500000US13231","pike county",18889,"13231"
"103","Georgia","0500000US13105","elbert county",19637,"13105"
"104","Georgia","0500000US13107","emanuel county",22768,"13107"
"105","Georgia","0500000US13279","toombs county",27030,"13279"
"106","Georgia","0500000US13261","sumter county",29616,"13261"
"107","Georgia","1600000US1303440","athens-clarke county unified government (balance)",127315,"1303440"
"108","Georgia","0500000US13059","clarke county",128671,"13059"
"109","Georgia","0500000US13021","bibb county",157346,"13021"
"110","Georgia","1600000US1349008","macon-bibb county",157346,"1349008"
"111","Georgia","0500000US13153","houston county",163633,"13153"
"112","Georgia","1600000US1304204","augusta-richmond county consolidated government (balance)",202081,"1304204"
"113","Georgia","0500000US13245","richmond county",206607,"13245"
"114","Georgia","0500000US13215","muscogee county",206922,"13215"
"115","Hawaii","0500000US15005","kalawao county",82,"15005"
