,state.abb,name,population,id,2020,2021,2022,
1,AL,barbour county,24960,NA,,,,
2,AL,blount county,59102,NA,,,,
3,AL,cherokee county,24972,NA,,,,
4,AL,chilton county,45051,NA,,,,
5,AL,clarke county,22981,NA,,,,
6,AL,colbert county,57299,NA,,,,
7,AL,coosa county,10341,NA,,,,
8,AL,dekalb county,71648,NA,,,,
9,AL,etowah county,103447,NA,,,,
10,AL,henry county,17175,NA,,,,
11,AL,houston county,107286,NA,,,,
12,AL,jackson county,52545,NA,,,,
13,AL,madison county,390502,NA,,,,
14,AL,marengo county,19266,NA,,,,
15,AL,morgan county,123288,NA,,,,
16,AL,tuscaloosa county,231534,NA,,,,
17,AZ,apache county,65911,NA,only 2020,,,
18,AZ,la paz county,16575,NA,,,,
19,AR,benton county,286586,NA,,,,
20,AR,calhoun county,4738,NA,,,,
21,AR,cleveland county,7550,NA,,,,
22,AR,desha county,11320,NA,,,,
23,AR,grant county,18022,NA,,,,
24,AR,greene county,45864,NA,,,,
25,AR,little river county,11975,NA,,,,
26,AR,lonoke county,74046,NA,,,,
27,AR,madison county,16546,NA,,,,
28,AR,searcy county,7842,NA,,,,
29,AR,sevier county,15779,NA,,,,
30,AR,union county,38926,NA,,,,
31,AR,van buren county,15801,NA,,,,
32,AR,washington county,246756,NA,,,,
33,AR,yell county,20214,NA,,,,
34,CA,humboldt county,136261,NA,only 2020,,,https://humboldtgov.org/Archive.aspx?AMID=42
35,CA,imperial county,179595,NA,,y,,
36,CA,kings county,152790,NA,y,y,,
37,CO,boulder county,330922,NA,,,,
38,CO,kit carson county,7066,NA,,,,
39,CO,lake county,7404,NA,,,,
40,CO,washington county,4808,NA,,,,
41,FL,baker county,28115,NA,,y,,
42,GA,appling county,18366,NA,,,,
43,GA,atkinson county,8311,NA,,,,
44,GA,brooks county,16268,NA,,,,
45,GA,candler county,11022,NA,,,,
46,GA,crawford county,12103,NA,,,,
47,GA,dodge county,19874,NA,,,,
48,GA,elbert county,19667,NA,,,,
49,GA,hart county,25871,NA,,,,
50,GA,lanier county,9926,NA,,,,
51,GA,madison county,30269,NA,,,,
52,GA,murray county,40012,NA,,,,
53,GA,oglethorpe county,14867,NA,,,,
54,GA,peach county,28040,NA,,,,
55,GA,pickens county,33339,NA,,,,
56,GA,randolph county,6368,NA,,,,
57,GA,stewart county,5304,NA,,,,
58,GA,twiggs county,8011,NA,,,,
59,GA,webster county,2352,NA,,,,
60,GA,wilkinson county,8824,NA,,,,
61,IL,dekalb county,100253,NA,,,,
62,IL,hardin county,3641,NA,,,,
63,IL,marion county,37639,NA,,,,
64,IL,pike county,14641,NA,,,,
65,IL,union county,17182,NA,,,,
66,IL,will county,695844,NA,,,,
67,IN,adams county,35852,NA,,,,
68,IN,blackford county,12111,NA,,,,
69,IN,brown county,15482,NA,,,,
70,IN,carroll county,20331,NA,,,,
71,IN,dubois county,43643,NA,,,,
72,IN,elkhart county,206983,NA,,,,
73,IN,fountain county,16483,NA,,,,
74,IN,hendricks county,175575,NA,,,,
75,IN,laporte county,112276,NA,,,,
76,IN,martin county,9803,NA,,,,
77,IN,newton county,13786,NA,,,,
78,IN,owen county,21314,NA,,,,
79,IN,perry county,19151,NA,,,,
80,IN,porter county,173295,NA,,,,
81,IN,spencer county,19835,NA,,,,
82,IN,switzerland county,9742,NA,,,,
83,IN,tippecanoe county,186369,NA,,,,
84,IN,tipton county,15386,NA,,,,
85,IN,vermillion county,15409,NA,,,,
86,IN,vigo county,106119,NA,,,,
87,KS,allen county,12532,NA,,,,
88,KS,anderson county,7843,NA,,,,
89,KS,atchison county,16318,NA,,,,
90,KS,bourbon county,14333,NA,,,,
91,KS,brown county,9482,NA,,,,
92,KS,chautauqua county,3385,NA,,,,
93,KS,cherokee county,19297,NA,,,,
94,KS,cheyenne county,2615,NA,,,,
95,KS,coffey county,8356,NA,,,,
96,KS,cowley county,34524,NA,,,,
97,KS,doniphan county,7463,NA,,,,
98,KS,douglas county,118777,NA,,,,
99,KS,ellsworth county,6369,NA,,,,
100,KS,franklin county,26008,NA,,,,
101,KS,gove county,2707,NA,,,,
102,KS,graham county,2408,NA,,,,
103,KS,gray county,5646,NA,,,,
104,KS,greenwood county,5965,NA,,,,
105,KS,hamilton county,2489,NA,,,,
106,KS,haskell county,3759,NA,,,,
107,KS,jewell county,2936,NA,,,,
108,KS,kearny county,3961,NA,,,,
109,KS,linn county,9586,NA,,,,
110,KS,marion county,11778,NA,,,,
