,state.name,census_num_county_gov,acfrs_num_county_gov,num_missing_county
,Total,3031,2491,540
1,Alabama,67,32,35
2,Alaska,15,NA,NA
3,Arizona,15,15,0
4,Arkansas,75,60,15
5,California,57,55,2
6,Colorado,62,56,6
7,Connecticut,X,NA,NA
8,Delaware,3,3,0
9,District of Columbia,X,NA,NA
10,Florida,66,63,3
11,Georgia,152,128,24
12,Hawaii,3,4,-1
13,Idaho,44,21,23
14,Illinois,102,97,5
15,Indiana,91,87,4
16,Iowa,99,97,2
17,Kansas,103,82,21
18,Kentucky,118,45,73
19,Louisiana,60,36,24
20,Maine,16,10,6
21,Maryland,23,20,3
22,Massachusetts,5,3,2
23,Michigan,83,79,4
24,Minnesota,87,85,2
25,Mississippi,82,54,28
26,Missouri,114,87,27
27,Montana,54,28,26
28,Nebraska,93,93,0
29,Nevada,16,16,0
30,New Hampshire,10,8,2
31,New Jersey,21,20,1
32,New Mexico,33,23,10
33,New York,57,55,2
34,North Carolina,100,100,0
35,North Dakota,53,39,14
36,Ohio,88,84,4
37,Oklahoma,77,57,20
38,Oregon,36,34,2
39,Pennsylvania,66,66,0
40,Rhode Island,X,NA,NA
41,South Carolina,46,34,12
42,South Dakota,66,35,31
43,Tennessee,92,92,0
44,Texas,254,179,75
45,Utah,29,28,1
46,Vermont,14,NA,NA
47,Virginia,95,85,10
48,Washington,39,39,0
49,West Virginia,55,20,35
50,Wisconsin,72,71,1
