"","state.abb","name","government_ID","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geoID","population","city_place"
"1","MI","twining","23200600600000",1240045,2020,209322,207000,2322,0,0,0,0,0,0,0,0,43509,42715,39300,72874,63202,135196,0,0,0,198398,"1600000US2681020",130,"Twining village"
"2","MI","shelby","23206400500000",1240031,2020,2973597,2817000,136546,0,0,0,0,0,0,0,20051,672544,356171,24300,778913,76830,1755098,0,0,0,1831928,"1600000US2672840",1964,"Shelby village"
"3","MI","hillman","23206000100000",1091471,2020,438347,415000,23347,0,0,0,0,0,0,0,0,322353,151386,0,270877,-56190,800806,0,0,0,744616,"1600000US2638380",605,"Hillman village"
"4","MI","bellaire","23200500100000",1239922,2020,694145,564000,16185,0,99526,0,0,0,0,0,14434,748596,171420,0,694714,189176,1425554,0,0,0,1614730,"1600000US2606980",1053,"Bellaire village"
"5","MI","laurium","23203100600000",1238545,2020,2824428,1399000,93608,0,0,145000,1147600,0,0,0,39220,397827,433414,0,834648,32428,1633461,0,0,0,1665889,"1600000US2646360",1864,"Laurium village"
"6","MI","kinde","23205800200000",1239953,2020,7805,0,3680,0,0,0,0,22135,0,0,4125,91973,79160,0,279519,136749,313903,0,0,0,450652,"1600000US2623380",5323,"Dundee village"
"7","MI","north branch","23204400800000",1240008,2020,356380,279592,74423,0,0,0,0,0,0,0,2365,537061,452151,1050870,421467,1300713,1160836,0,0,0,2461549,"1600000US2658080",1096,"North Branch village"
"8","MI","lakewood club","23206180100000",110229,2020,8556,0,8556,0,0,0,0,0,0,0,0,79982,0,0,567086,50424,596644,0,0,0,647068,"1600000US2645340",1340,"Lakewood Club village"
"9","OR","lonerock","38201100300000",86202,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US4143400",25,"Lonerock city"
"10","LA","vienna","19203190100000",110037,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US2278540",483,"Vienna town"
"11","UT","spanish fork city","45202501400000",65570,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US4971290",42602,"Spanish Fork city"
"12","IL","sesser","14202800900000",100158,2020,5618369,419071,71690,0,5119667,0,134503,0,0,0,7941,776414,60725,877864,1489856,497123,2707736,0,0,0,3204859,"1600000US1768705",1888,"Sesser city"
"13","MI","vernon","23207801000000",1240048,2020,2350914,2310000,40914,0,0,0,0,0,0,0,0,327318,117805,592937,281369,743241,576188,0,0,0,1319429,"1600000US2682020",738,"Vernon village"
"14","TN","crab orchard","43201890100000",87822,2020,4492,0,4492,0,0,0,0,0,0,0,0,1030,33538,0,225109,42477,217200,0,0,0,259677,"1600000US4717840",720,"Crab Orchard city"
"15","OR","waterloo","38202201000000",87266,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US4179050",222,"Waterloo town"
"16","GA","offerman","11211300300000",90303,2020,304,0,304,0,0,0,0,0,0,0,0,38532,0,89323,103406,97100,134161,0,0,0,231261,"1600000US1357568",450,"Offerman city"
"17","OK","paradise hill","37206880100000",125952,2020,200,0,200,0,0,0,0,0,0,0,0,0,0,0,54473,39338,15135,0,0,0,54473,"1600000US4057150",73,"Paradise Hill town"
"18","OR","prescott","38200500300000",86725,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US4159750",82,"Prescott city"
"19","IL","cerro gordo","14207400300000",96707,2020,1440000,1405000,35000,0,0,0,0,0,0,0,0,387516,0,0,712567,79486,1020597,0,0,0,1100083,"1600000US1712268",1316,"Cerro Gordo village"
"20","IL","abingdon","14204800100000",71140,2020,2762883,610000,54864,0,1875632,0,202211,0,0,0,20176,1207236,16490,492208,1069887,466131,2319690,0,0,0,2785821,"1600000US1700113",2951,"Abingdon city"
"21","IL","broadlands","14201000100000",96665,2020,395000,395000,0,0,0,0,0,0,0,0,0,133718,0,0,105434,20344,218808,0,0,0,239152,"1600000US1708420",316,"Broadlands village"
"22","IL","divernon","14208400800000",96767,2020,305329,0,305329,0,0,0,211059,0,0,0,0,1529589,2700,0,526358,447699,1610948,0,0,0,2058647,"1600000US1720045",1139,"Divernon village"
"23","IL","argenta","14205800100000",96602,2020,175149,0,4882,0,0,170267,0,0,0,0,0,226357,8958,0,416206,112204,539317,0,0,0,651521,"1600000US1701972",913,"Argenta village"
"24","IL","alexis","14209400100000",96587,2020,68981,0,3981,0,65000,0,0,0,0,0,0,287340,0,0,335509,80417,542432,0,0,0,622849,"1600000US1700672",793,"Alexis village"
"25","IL","brownstown","14202600200000",96670,2020,133707,0,47074,0,0,0,86633,0,0,0,0,453869,266593,0,241781,73245,888998,0,0,0,962243,"1600000US1708992",690,"Brownstown village"
"26","IL","carrier mills","14208300100000",96699,2020,2181863,28000,171766,0,74324,0,0,138237,0,0,0,710495,0,516060,665975,401841,1490689,0,0,0,1892530,"1600000US1711397",1672,"Carrier Mills village"
"27","IL","buckley","14203800300000",96673,2020,417369,0,0,0,412215,0,0,0,0,0,0,189380,0,108000,225296,157343,365333,184153,0,0,522676,"1600000US1709317",495,"Buckley village"
"28","IL","libertyville","14204901500000",92546,2020,112454288,46946771,4310210,0,1568007,0,49351407,0,7876358,0,2297023,22402971,0,1513437,26938784,-68516,50923708,9608427,1119280,0,50855192,"1600000US1743250",20579,"Libertyville village"
"29","IL","donovan","14203800900000",96771,2020,44891,0,34201,0,10690,0,0,0,0,0,0,69474,0,0,74270,13953,129791,0,0,0,143744,"1600000US1720331",251,"Donovan village"
"30","IL","dwight","14205300500000",96779,2020,8768187,6660000,38785,0,2069402,0,516911,0,0,0,0,3116234,14179,57250,3517435,239757,6465341,1901824,69146,0,6705098,"1600000US1721358",4032,"Dwight village"
"31","IL","gridley","14205701000000",92374,2020,343736,315000,28736,0,0,0,0,0,0,0,0,514293,0,0,726517,175892,1064918,0,0,0,1240810,"1600000US1731732",1456,"Gridley village"
"32","IL","hamel","14206001000000",92384,2020,568233,0,4772,0,538461,0,0,0,0,0,0,557809,19619,105417,848139,26076,1504908,0,0,0,1530984,"1600000US1732408",929,"Hamel village"
"33","IL","fillmore","14206800600000",92284,2020,265000,265000,0,0,0,0,0,0,0,0,0,101638,0,0,131462,5097,228003,62723,1628,0,233100,"1600000US1726077",305,"Fillmore village"
"34","IL","macon","14205800400000",72841,2020,493300,0,6936,0,486364,0,0,0,0,0,0,292792,0,0,843981,360546,776227,0,0,0,1136773,"1600000US1745941",1177,"Macon city"
