"","state.abb","name","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geo_id","name_midfile","sumlev","state","county","place","cousub","concit","funcstat","state.name","population"
"1","PA","philadelphia",42714,2020,19141711000,8953168000,1937322000,0,0,220009000,6095885000,0,1935327000,0,0,1542631000,2337887000,79201000,4717976000,-34593000,8712288000,0,0,0,8677695000,"4260000","city of philadelphia",162,"42","000","60000","00000",0,"A","Pennsylvania",1603799
"2","FL","jacksonville",32292,2020,6319925000,2317159000,199668000,0,79526000,75170000,2985785000,0,261160000,0,145220000,267416000,280509000,41783000,1533763000,-40535000,2164006000,81845000,3622000,0,2123471000,"1235000","city of jacksonville",162,"12","000","35000","00000",0,"A","Florida",949616
"3","CA","san francisco",54175,2020,34557584000,18448410000,1668487000,23490000,202897000,0,4655538000,0,3903016000,0,332989000,4739280000,1973724000,507666000,5299296000,496383000,12023583000,0,0,0,12519966000,"0667000","city and county of san francisco",162,"06","000","67000","00000",0,"A","California",873959
"4","MA","norfolk county",116575,2020,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725999
"5","CA","los angeles county",31687,2020,52768946000,2737062000,5617736000,148918000,0,384066000,11560668000,0,25921499000,0,2072486000,8065147000,12174881000,60658000,9153396000,1055567000,28398515000,1281573000,1285000,19356000,29454082000,"06037",NA,50,"06","037",NA,"00000",0,"A","California",10014042
"6","IL","cook county",1035781,2020,21176754633,2823221430,708751691,0,570036750,7521000,13580982590,0,1900989370,0,122331764,3118370000,738219342,138850239,2065761372,405671632,5655529321,2862471563,257597178,44788567,6061200953,"17031",NA,50,"17","031",NA,"00000",0,"A","Illinois",5275522
"7","TX","harris county",1265423,2020,8947139580,4440922478,660408855,0,33287159,554942000,470596852,134778,2733774269,0,48806862,1153495162,278082673,401554423,2304193903,537805272,3599520889,0,0,0,4137326161,"48201",NA,50,"48","201",NA,"00000",0,"A","Texas",4731129
"8","AZ","maricopa county",31617,2020,2834203888,0,553067960,20783850,31410428,0,1876917812,0,3209316,16637315,0,294561793,392453978,41902995,1770899097,273182882,2226634981,0,0,0,2499817863,"04013",NA,50,"04","013",NA,"00000",0,"A","Arizona",4420574
"9","CA","san diego county",31710,2020,6570540000,1018893000,945099000,39300000,3201000,0,3790434000,0,106033000,0,128010000,646844000,3066604000,29828000,1562782000,129064000,5176994000,0,0,0,5306058000,"06073",NA,50,"06","073",NA,"00000",0,"A","California",3298635
"10","CA","orange county",31700,2020,7044193000,620161000,890891000,31702000,387644000,34661000,4125372000,0,328412000,0,184050000,920286000,2505653000,141118000,1234935000,317280000,4484712000,120977000,25629000,0,4801992000,"06059",NA,50,"06","059",NA,"00000",0,"A","California",3186979
"11","FL","miami-dade county",69702,2020,27654208000,17236196000,1937708000,431062000,599543000,391345000,4414212000,0,692290000,0,823163000,4294642000,1324932000,445910000,3388422000,-605491000,10059397000,0,0,0,9453906000,"12086",NA,50,"12","086",NA,"00000",0,"A","Florida",2701762
"12","TX","dallas county",38622,2020,942867000,148618000,285802000,78424000,0,0,156475000,0,228011000,0,40641000,158892000,271858000,0,631682000,43764000,1018668000,0,0,0,1062432000,"48113",NA,50,"48","113",NA,"00000",0,"A","Texas",2611491
"13","CA","riverside county",149444,2020,8461146000,2205402000,1486004000,371389000,0,84342000,3517404000,0,60350000,143000,279952000,1663165000,2291206000,32808000,1103865000,-854891000,5945935000,631853000,553000,355000,5091044000,"06065",NA,50,"06","065",NA,"00000",0,"A","California",2418177
"14","WA","king county",42969,2020,7102405000,4638440000,890960000,9887000,247287000,0,451611000,76450000,106619000,0,208868000,1862611000,838012000,45614000,2269964000,752995000,4263206000,0,0,0,5016201000,"53033",NA,50,"53","033",NA,"00000",0,"A","Washington",2269667
"15","NV","clark county",82176,2020,11263235204,5995657382,925452056,2385548,0,5400000,2971365931,0,683532382,0,303849498,1939388464,495664818,324744954,2386433924,375693990,4770538170,0,0,0,5146232160,"32003",NA,50,"32","003",NA,"00000",0,"A","Nevada",2265469
"16","CA","san bernardino county",31709,2020,4697075000,418164000,855666000,2646000,0,29126000,2236518000,0,8506000,0,244389000,1036006000,2633539000,25018000,1317168000,383389000,4628342000,0,0,0,5011731000,"06071",NA,50,"06","071",NA,"00000",0,"A","California",2181662
