"","state.abb","state.name","geo_id","year","name","total_liabilities","net_pension_liability","net_opeb_liability","current_liabilities","net_pension_assets","net_opeb_assets","expenses","revenues","population","urban_pop","pct_urban_pop","median_hh_income_21"
"1","CA","California","06037",2020,"los angeles county",52768946000,11560668000,25921499000,5617736000,0,0,28398515000,29454082000,10014042,9924789,0.991090481344684,77356
"2","IL","Illinois","17031",2020,"cook county",21176754633,13580982590,1900989370,708751691,0,0,5655529321,6061200953,5275522,5272651,0.999452188884514,72063
"3","TX","Texas","48201",2020,"harris county",8947139580,470596852,2733774269,660408855,134778,0,3599520889,4137326161,4731129,4677507,0.988662786703853,63539
"4","AZ","Arizona","04013",2020,"maricopa county",2834203888,1876917812,3209316,553067960,0,16637315,2226634981,2499817863,4420574,4318689,0.976953414131397,76230
"5","CA","California","06073",2020,"san diego county",6570540000,3790434000,106033000,945099000,0,0,5176994000,5306058000,3298635,3153671,0.956053627046832,90756
"6","CA","California","06059",2020,"orange county",7044193000,4125372000,328412000,890891000,0,0,4484712000,4801992000,3186979,3179027,0.997501717138026,100210
"7","FL","Florida","12086",2020,"miami-dade county",27654208000,4414212000,692290000,1937708000,0,0,10059397000,9453906000,2701762,2678436,0.991364540317503,58905
"8","TX","Texas","48113",2020,"dallas county",942867000,156475000,228011000,285802000,0,0,1018668000,1062432000,2611491,2598426,0.994217419368909,63549
"9","CA","California","06065",2020,"riverside county",8461146000,3517404000,60350000,1486004000,0,143000,5945935000,5091044000,2418177,2285826,0.945265147207513,78690
"10","WA","Washington","53033",2020,"king county",7102405000,451611000,106619000,890960000,76450000,0,4263206000,5016201000,2269667,2194904,0.9670565169022,110351
"11","NV","Nevada","32003",2020,"clark county",11263235204,2971365931,683532382,925452056,0,0,4770538170,5146232160,2265469,2236714,0.987310750438873,63735
"12","CA","California","06071",2020,"san bernardino county",4697075000,2236518000,8506000,855666000,0,0,4628342000,5011731000,2181662,2064249,0.94618532544574,74218
"13","TX","Texas","48439",2020,"tarrant county",908700000,227323000,184230000,186900000,0,0,717381000,816457000,2110608,2084718,0.987718417162567,71399
"14","TX","Texas","48029",2020,"bexar county",3027051150,117083764,216578397,121104482,0,0,874696720,869968776,2009322,1914732,0.952923470779227,63014
"15","FL","Florida","12011",2020,"broward county",7728588000,1835950000,315136000,587100000,0,0,3040683000,3660292000,1944376,1944223,0.999921825779492,65536
"16","CA","California","06085",2020,"santa clara county",10454942000,4369993000,1193745000,1698043000,0,0,6863789000,7052128000,1936274,1910722,0.98681116524184,141161
"17","MI","Michigan","26163",2020,"wayne county",1812948420,547323476,91675340,331168554,0,0,776082084,1084737794,1793549,1777476,0.991031807672,52644
"18","CA","California","06001",2020,"alameda county",4327169000,1785396000,173413000,748101000,0,0,3251961000,3470053000,1682331,1674100,0.995094370800896,108971
"19","CA","California","06067",2020,"sacramento county",5697591,1843333,135237,359159,0,0,3453455,3562287,1585046,1547026,0.976007772600951,79611
"20","NY","New York","36103",2020,"suffolk county",12322349989,1104493609,6901030000,614044114,0,0,3579014653,3589705708,1525936,1495948,0.980358079060501,112681
"21","FL","Florida","12099",2020,"palm beach county",4197746860,1867489307,447740399,398776095,0,0,2768867581,2731751287,1492198,1479525,0.991511810485387,70024
"22","FL","Florida","12057",2020,"hillsborough county",3229923000,1266841000,116670000,478744000,0,0,2324477000,2543904000,1459773,1406155,0.963276890342398,65818
"23","FL","Florida","12095",2020,"orange county",3034626323,1287393180,42748723,272763331,0,171947,2545112534,2730260273,1429901,1396338,0.97652296511384,64579
"24","NY","New York","36059",2020,"nassau county",14455591000,918259000,6311284000,831739000,0,0,3804405000,3431196000,1395777,1389785,0.995709190742914,125118
"25","OH","Ohio","39049",2020,"franklin county",1539152000,485833000,330467000,119288000,0,1265000,1358038000,1407426000,1323800,1305636,0.986273678867086,66056
"26","TX","Texas","48453",2020,"travis county",2724331272,172394620,1125420726,145211872,0,0,937768731,990562635,1290209,1224251,0.948893494591486,84519
"27","MN","Minnesota","27053",2020,"hennepin county",3494379106,839268166,145819803,473163198,0,0,3473923249,3366383989,1281568,1250960,0.976119041952613,84220
"28","MI","Michigan","26125",2020,"oakland county",741376009,22497565,0,321853855,0,384338239,824504475,970737618,1274395,1203765,0.944577623107435,86597
"29","OH","Ohio","39035",2020,"cuyahoga county",2415923380,574879699,392822866,133324213,0,391753,1491968669,1522380010,1264813,1257664,0.994344636417758,55250
"30","PA","Pennsylvania","42003",2020,"allegheny county",3045677641,1648275854,57453399,301434463,0,0,2192761099,2005108266,1250585,1220381,0.9758535653114,68874
"31","UT","Utah","49035",2020,"salt lake county",958229946,75995899,95202533,163875936,0,0,1228904482,1332987995,1185236,1177043,0.993085776865068,80676
"32","CA","California","06013",2020,"contra costa county",2611861000,677976000,523933000,556090000,0,236000,3423666000,3738705000,1165927,1154266,0.989998516202129,110595
"33","VA","Virginia","51059",2020,"fairfax county",7213251402,1838029525,136090113,602285356,0,0,5533259664,5484428195,1150305,1132574,0.984582403510709,133845
"34","NC","North Carolina","37183",2020,"wake county",3533852433,115220710,415753783,289701442,1917781,0,1712110168,1689602194,1129393,1071162,0.94842616941589,91558
"35","NC","North Carolina","37119",2020,"mecklenburg county",2678783023,137831581,514883109,237829916,1320744,0,1863619083,1869490833,1115526,1106063,0.991556116548721,75138
"36","GA","Georgia","13121",2020,"fulton county",3257955000,333578000,1675472000,98554000,0,0,1107016000,1134497000,1066702,1059965,0.993676819379213,82820
"37","TX","Texas","48085",2020,"collin county",665516189,0,0,116609392,32523900,0,380118732,451872776,1066465,999005,0.938504319071083,102119
"38","MD","Maryland","24031",2020,"montgomery county",6415638072,106518934,825636740,808532471,0,0,4841330406,5082707410,1062054,1033604,0.9732058704726,112352
