"","state.abb","name","government_id","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geo_id","name_midfile","sumlev","state","county","place","cousub","concit","funcstat","census_name","state.name","population","Median_Household_Income_2021"
"1","AL","foley","01200200500000",31558,2022,76548461,55838864,5015060,0,0,21717,7845385,0,5647961,0,1128034,21531157,2256020,10131575,51624920,30772644,54771028,0,0,0,85543672,"0126992","city of foley",162,"01","000","26992","00000",0,"A","foley city","Alabama",20336,NA
"2","AZ","san luis","03201460100000",64754,2022,74325366,51416364,10735737,0,0,524803,9756785,4582640,0,0,1019878,15756830,3837548,2406770,24529256,5257434,41272970,0,0,1386860,46530404,"0463470","city of san luis",162,"04","000","63470","00000",0,"A","san luis city","Arizona",35284,NA
"3","AZ","el mirage","03200700400000",64748,2022,58607600,20008806,5148624,0,15743239,0,16533030,0,0,531033,1173901,22957080,3759331,471130,31716327,11911978,46991890,10375917,0,854351,58903868,"0422220","city of el mirage",162,"04","000","22220","00000",0,"A","el mirage city","Arizona",35798,NA
"4","AZ","maricopa","03201110100000",65753,2022,64639379,33061523,11425113,0,2963814,0,15024002,504288,0,0,1766546,12968660,4859852,22046282,71616923,43798505,67693212,0,0,0,111491717,"0444410","city of maricopa",162,"04","000","44410","00000",0,"A","maricopa city","Arizona",58143,NA
"5","AZ","kingman","03200800100000",43416,2022,111581628,37615000,8821215,0,20868048,0,37101630,0,3506000,1079008,2040451,30152706,10488700,822761,43033618,27116517,57381268,9148901,0,0,84497785,"0437620","city of kingman",162,"04","000","37620","00000",0,"A","kingman city","Arizona",32690,NA
"6","AZ","tempe","03200701200000",31638,2022,1757622370,673749365,171787886,0,7931352,0,410652733,0,108237434,4747812,32633155,174314891,26374825,19658668,344349506,61708841,502989049,92113622,0,0,564697890,"0473000","city of tempe",162,"04","000","73000","00000",0,"A","tempe city","Arizona",180576,68662
"7","AZ","chandler","03200700300000",31633,2022,937633085,524676261,82806731,0,0,0,212540490,0,81921795,0,14436678,203405767,26462503,31565571,315337214,58046307,518724748,55393260,0,4451743,576771055,"0412000","city of chandler",162,"04","000","12000","00000",0,"A","chandler city","Arizona",276010,94613
"8","AZ","mesa","03200700800000",31634,2022,4226428000,1926166000,409619000,0,0,1135000,840814000,0,987614000,0,39149000,564475000,106310000,75257000,579490000,85004000,1240528000,0,0,0,1325532000,"0446000","city of mesa",162,"04","000","46000","00000",0,"A","mesa city","Arizona",504300,69266
"9","AZ","page","03200390100000",31630,2022,15231553,0,6139441,0,0,485039,7048058,0,11190,2468778,1457812,20613952,6671846,440459,16242764,6123442,37845579,3553877,0,0,43969021,"0451810","city of page",162,"04","000","51810","00000",0,"A","page city","Arizona",7438,NA
"10","AZ","safford","03200500200000",66969,2022,59883513,18705954,5184207,0,7384114,0,20259117,0,0,0,704224,24690532,5314721,1184153,14321409,10302073,35208742,2041978,0,0,45510815,"0462000","city of safford",162,"04","000","62000","00000",0,"A","safford city","Arizona",10126,NA
