"","state.abb","name","government_ID","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","sumlev","state","county_code","place","cousub","concit","funcstat","state.name","population","FIPS"
"1","CA","los angeles county","05101901900000",31687,2021,64141944000,3090919000,6834441000,156824000,521807000,0,17394887000,0,29368129000,0,2305374000,7429396000,14225574000,71540000,9971698000,-481735000,32179943000,1221715000,48525000,201000,31698208000,50,"06","037",0,0,0,"A","California",9992236,"06037"
"2","IL","cook county","14101601600000",1035781,2021,23004219360,3217601817,1740684456,0,0,6871000,14984908546,0,2105154520,0,119196084,3715251023,563985659,161490108,2357238329,161672292,6636292827,0,0,0,6797965119,50,"17","031",0,0,0,"A","Illinois",5261249,"17031"
"3","TX","harris county","44110110100000",1265423,2021,10515266381,4898632352,1035427458,0,27921034,297792000,725190179,114259,3473489714,0,47393178,830748214,734816590,342259819,2252060147,-336808572,4496693342,0,0,0,4159884770,50,"48","201",0,0,0,"A","Texas",4734505,"48201"
"4","AZ","maricopa county","03100700700000",31617,2021,3153531275,0,759547144,47481302,0,0,2061212073,0,6798975,18133053,0,319377143,634413147,22051183,1942301597,355017166,2563125904,0,0,0,2918143070,50,"04","013",0,0,0,"A","Arizona",4440232,"04013"
"5","CA","san diego county","05103703700000",31710,2021,7621970000,950495000,1342602000,90595000,2551000,0,4478532000,0,92006000,0,140382000,630817000,3758523000,24242000,1520365000,44375000,5889572000,0,0,0,5933947000,50,"06","073",0,0,0,"A","California",3296045,"06073"
"6","CA","orange county","05103003000000",31700,2021,6559088000,625536000,993231000,33987000,384433000,37406000,3547702000,0,305411000,0,189566000,914405000,3221552000,147270000,1313414000,818879000,4777762000,0,0,0,5596641000,50,"06","059",0,0,0,"A","California",3185516,"06059"
"7","FL","miami-dade county","10101301300000",69702,2021,25973866000,18977109000,1896558000,474841000,203610000,15001000,1434132000,36837000,745948000,0,872382000,4528938000,1862650000,353621000,3630758000,268067000,10107900000,0,0,0,10375967000,50,"12","086",0,0,0,"A","Florida",2695501,"12086"
"8","TX","dallas county","44105705700000",38622,2021,1211575000,131558000,465875000,128752000,0,0,246648000,0,194549000,0,40447000,164341000,300933000,0,687868000,102303000,1050839000,0,0,0,1153142000,50,"48","113",0,0,0,"A","Texas",2609966,"48113"
"9","CA","riverside county",NA,149444,2021,8050732000,1818732000,1482611000,347660000,0,99798000,2983082000,0,187718000,0,310705000,1782174000,2741915000,30014000,1155617000,782845000,4926875000,680060000,0,559000,5709720000,50,"06","065",0,0,0,"A","California",2422847,"06065"
"10","NV","clark county","29100200200000",82176,2021,11138242764,5618809922,795343332,1890315,0,5400000,3013888321,0,798014345,0,303480641,2091943918,790079005,307696678,2399559465,472929535,5116349531,0,0,0,5589279066,50,"32","003",0,0,0,"A","Nevada",2274734,"32003"
"11","WA","king county","48101701700000",42969,2021,7316533000,5092278000,1104880000,9342000,104183000,0,105494000,0,106488000,0,208786000,2028232000,1092838000,72645000,2263138000,1316855000,4139998000,0,0,0,5456853000,50,"53","033",0,0,0,"A","Washington",2274094,"53033"
"12","CA","san bernardino county","05103603600000",31709,2021,5537452000,303382000,696244000,2468000,0,1171000,3317265000,0,0,0,260905000,1062306000,3097389000,18887000,1298603000,462530000,5014655000,0,0,0,5477185000,50,"06","071",0,0,0,"A","California",2183239,"06071"
"13","TX","tarrant county","44122022000000",38644,2021,1110277000,222602000,319710000,38000,0,0,290929000,0,213391000,0,50555000,157586000,236748000,2223000,502360000,110189000,788728000,3506000,13000,350000,898917000,50,"48","439",0,0,0,"A","Texas",2115682,"48439"
"14","TX","bexar county","44101501500000",38615,2021,3218500283,2462733461,309676217,0,0,0,166644668,0,227493053,0,51261761,100879902,56866361,74057926,587655533,-59819622,879279344,0,0,0,819459722,50,"48","029",0,0,0,"A","Texas",2015369,"48029"
"15","FL","broward county","10100600600000",68695,2021,6436431000,4162669000,725175000,2725000,346030000,0,571574000,0,312871000,0,143699000,1173182000,315414000,136220000,1944715000,639893000,2929638000,0,0,0,3569531000,50,"12","011",0,0,0,"A","Florida",1943266,"12011"
"16","CA","santa clara county","05104304200000",31546,2021,11018099000,2498605000,2024400000,0,0,0,4769151000,0,1088627000,0,396141000,2963394000,2233088000,18602000,2154635000,-155537000,7525256000,0,0,0,7369719000,50,"06","085",0,0,0,"A","California",1931026,"06085"
"17","CA","alameda county",NA,149446,2021,4361821000,1255157000,780365000,595000,3306000,0,1843225000,0,92241000,0,105925000,672257000,2264699000,8252000,996042000,457591000,3483659000,0,0,0,3941250000,50,"06","001",0,0,0,"A","California",1680380,"06001"
"18","NY","suffolk county","33105204700000",36008,2021,10612203516,1701039998,769874403,0,0,0,153186365,0,6543850000,0,1071669280,476991433,544767760,36215595,2703961912,478829327,3283107373,0,0,0,3761936700,50,"36","103",0,0,0,"A","New York",1521950,"36103"
