"","state.abb","name","government_id","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geo_id.x","name_midfile","sumlev","state","county","place","cousub","concit","funcstat","state.name","population","geo_id.y","urban_pop","pct_urban_pop"
"1","NE","mcpherson county","28105905900000",109295,2022,0,0,0,0,0,0,0,0,0,0,0,71410,16867,200000,1184140,241523,1230894,0,0,0,1472417,NA,NA,50,"31","117",NA,"00000",0,"A","Nebraska",400,"31117",0,0
"2","NE","blaine county","28100500500000",108593,2022,0,0,0,0,0,0,0,0,0,0,0,50656,0,38390,1234710,240127,1083629,0,0,0,1323756,NA,NA,50,"31","009",NA,"00000",0,"A","Nebraska",432,"31009",0,0
"3","NE","arthur county","28100300300000",108588,2022,0,0,0,0,0,0,0,0,0,0,0,59922,59173,0,925579,130030,914644,0,0,0,1044674,NA,NA,50,"31","005",NA,"00000",0,"A","Nebraska",433,"31005",0,0
"4","NE","loup county","28105805800000",109266,2022,0,0,0,0,0,0,0,0,0,0,0,86862,0,64487,1346360,259750,1237959,0,0,0,1497709,NA,NA,50,"31","115",NA,"00000",0,"A","Nebraska",603,"31115",0,0
"5","NE","grant county","28103803800000",109168,2022,0,0,0,0,0,0,0,0,0,0,0,102884,305193,0,1348009,475061,1281025,0,0,0,1756086,NA,NA,50,"31","075",NA,"00000",0,"A","Nebraska",613,"31075",0,0
"6","AK","yakutat city and borough","02102702700000",110777,2022,1781346,0,339352,0,0,0,1303183,0,0,932502,63811,863784,726880,0,2310362,-739641,4640667,0,0,0,3901026,NA,NA,50,"02","282",NA,"00000",0,"A","Alaska",664,"02282",0,0
"7","NE","thomas county","28108608600000",109671,2022,0,0,0,0,0,0,0,0,0,0,0,54238,147423,0,1629766,-688795,2520222,0,0,0,1831427,NA,NA,50,"31","171",NA,"00000",0,"A","Nebraska",668,"31171",0,0
"8","NE","banner county","28100400400000",108590,2022,0,0,0,0,0,0,0,0,0,0,0,67042,48062,0,1912388,272106,1755386,0,0,0,2027492,NA,NA,50,"31","007",NA,"00000",0,"A","Nebraska",674,"31007",0,0
"9","NE","hooker county","28104604600000",109205,2022,0,0,0,0,0,0,0,0,0,0,0,37169,14411,70174,1186499,174023,1134230,0,0,0,1308253,NA,NA,50,"31","091",NA,"00000",0,"A","Nebraska",711,"31091",0,0
"10","NE","logan county","28105705700000",109256,2022,0,0,0,0,0,0,0,0,0,0,0,76326,245070,50000,1593990,153393,1811993,0,0,0,1965386,NA,NA,50,"31","113",NA,"00000",0,"A","Nebraska",718,"31113",0,0
"11","NV","esmeralda county","29100500500000",48209,2022,6974442,1391236,2069359,0,0,0,2808102,0,543690,0,105921,1114445,228357,6969583,4490966,5651317,7152034,0,0,0,12803351,NA,NA,50,"32","009",NA,"00000",0,"A","Nevada",729,"32009",0,0
"12","TX","terrell county","44122222200000",129441,2022,397468,0,155609,0,0,34968,0,1484694,188969,0,17922,551307,875715,0,3141236,1456206,3112052,0,0,0,4568258,NA,NA,50,"48","443",NA,"00000",0,"A","Texas",760,"48443",0,0
"13","NE","keya paha county","28105205200000",109229,2022,0,0,0,0,0,0,0,0,0,0,0,321345,506919,0,1830338,467936,2190666,0,0,0,2658602,NA,NA,50,"31","103",NA,"00000",0,"A","Nebraska",768,"31103",0,0
"14","NE","wheeler county","28109209200000",109733,2022,0,0,0,0,0,0,0,0,0,0,0,78480,81701,0,2613428,325074,2448535,0,0,0,2773609,NA,NA,50,"31","183",NA,"00000",0,"A","Nebraska",772,"31183",0,0
"15","CO","hinsdale county","06102702600000",1266867,2022,403118,0,209985,0,0,0,0,0,0,0,102096,996166,4154352,198626,2906291,691007,7564428,0,0,0,8255435,NA,NA,50,"08","053",NA,"00000",0,"A","Colorado",784,"08053",0,0
"16","NE","hayes county","28104304300000",109189,2022,0,0,0,0,0,0,0,0,0,0,0,99266,0,90486,2274014,-112413,2576179,0,0,0,2463766,NA,NA,50,"31","085",NA,"00000",0,"A","Nebraska",856,"31085",0,0
"17","UT","daggett county","45100500500000",102833,2022,1841487,1225000,435526,0,0,0,0,370681,0,0,64233,806599,2317995,111654,3141152,1775444,4601956,328721,2098,0,6377400,NA,NA,50,"49","009",NA,"00000",0,"A","Utah",936,"49009",0,0
"18","NE","sioux county","28108308300000",109614,2022,0,0,0,0,0,0,0,0,0,0,0,119087,354357,109567,3172955,802965,2953001,0,0,0,3755966,NA,NA,50,"31","165",NA,"00000",0,"A","Nebraska",1135,"31165",0,0
