"","state.abb","name","government_id","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geo_id","name_midfile","sumlev","state","county","place","cousub","concit","funcstat","name_census","state.name","population"
"1","IL","amity township","14305300100000",92081,2021,63220,0,0,0,63220,0,0,0,0,0,0,300,0,0,255778,-11044,267122,0,0,0,256078,"1701348","township of amity",61,"17","105",NA,"01348",0,"A","amity township","Illinois",763
"2","IL","abingdon","14204800100000",71140,2021,2391714,530000,74087,0,1763796,0,0,60559,0,0,23831,1193201,1218817,131116,1208659,393529,3358264,0,0,0,3751793,"1700113","city of abingdon",162,"17","000","00113","00000",0,"A","abingdon city","Illinois",2957
"3","IL","anchor township","14305700200000",92082,2021,120718,0,0,120718,0,0,0,0,0,0,0,9330,98688,0,335834,89637,354215,0,0,0,443852,"1701374","township of anchor",61,"17","113",NA,"01374",0,"A","anchor township","Illinois",286
"4","IL","albion","14202400100000",71154,2021,2064822,2010000,54822,0,0,0,0,0,0,0,0,1256756,230518,0,1091245,323555,2254964,0,0,0,2578519,"1700568","city of albion",162,"17","000","00568","00000",0,"A","albion city","Illinois",1965
"5","IL","altona","14204800200000",96595,2021,211857,0,13280,0,0,198577,0,0,0,0,0,177017,0,0,191544,-40959,409520,0,0,0,368561,"1701140","village of altona",162,"17","000","01140","00000",0,"A","altona village","Illinois",464
"6","IL","alexis","14209400100000",96587,2021,0,0,0,0,0,0,0,0,0,0,0,299287,61664,0,409195,189315,580831,0,0,0,770146,"1700672","village of alexis",162,"17","000","00672","00000",0,"A","alexis village","Illinois",791
"7","IL","alhambra","14206000100000",96589,2021,186613,0,58943,0,0,127670,0,0,0,0,0,226209,74779,0,426262,-81117,808367,0,0,0,727250,"1700737","village of alhambra",162,"17","000","00737","00000",0,"A","alhambra village","Illinois",619
"8","IL","alton","14206000200000",46347,2021,162901196,7462017,2927677,0,2060000,0,111425312,0,36331131,0,2695059,6288772,2805581,102953,36232138,-7620040,53049484,0,0,0,45429444,"1701114","city of alton",162,"17","000","01114","00000",0,"A","alton city","Illinois",25660
"9","IL","allerton","14209200100000",96590,2021,7425,0,7425,0,0,0,0,0,0,0,0,60317,0,0,101817,1203,160931,58227,5403,0,162134,"1700880","village of allerton",162,"17","000","00880","00000",0,"A","allerton village","Illinois",266
"10","IL","abington township","14306600100000",92073,2021,100112,0,0,0,0,100112,0,0,0,0,0,14034,15842,0,139175,48654,120397,0,0,0,169051,"1700126","township of abington",61,"17","131",NA,"00126",0,"A","abington township","Illinois",374
"11","AR","bergman","04200580200000",108512,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0505440","town of bergman",162,"05","000","05440","00000",0,"A","bergman town","Arkansas",428
"12","IL","allin township","14305700100000",112282,2021,1740,0,1740,0,0,0,0,0,0,0,0,0,0,0,280326,76854,203472,0,0,0,280326,"1700893","township of allin",61,"17","113",NA,"00893",0,"A","allin township","Illinois",853
"13","IL","addison","14202200100000",96585,2021,95779263,27608552,6333622,0,10605585,0,40811243,0,3814128,0,6426133,24502244,3138317,1606470,40095711,11763333,57579409,0,0,0,69342742,"1700243","village of addison",162,"17","000","00243","00000",0,"A","addison village","Illinois",35705
"14","IL","albers","14201400100000",96586,2021,45693,0,0,0,0,45693,0,0,0,0,0,446246,49091,0,567898,223422,839813,0,0,0,1063235,"1700555","village of albers",162,"17","000","00555","00000",0,"A","albers village","Illinois",1125
"15","AK","houston","02201300100000",103539,2021,59128,0,27824,0,0,31304,0,0,0,0,0,69610,1133447,0,1612613,1414967,1400703,0,0,0,2815670,"0233800","city of houston",162,"02","000","33800","00000",0,"A","houston city","Alaska",1974
"16","IL","algonquin township","14305600200000",71161,2021,354183,0,338958,0,0,0,0,162468,15225,0,0,69887,0,0,4573669,-177447,4821003,0,0,0,4643556,"1700698","township of algonquin",61,"17","111",NA,"00698",0,"A","algonquin township","Illinois",87638
"17","AK","unalaska","02200100400000",47388,2021,104637425,55147928,4199498,0,13109826,0,22793402,0,0,1899199,2132398,28102607,12276303,0,33736944,-148329,74264183,0,0,0,74115854,"0280770","city of unalaska",162,"02","000","80770","00000",0,"A","unalaska city","Alaska",4257
