"","state.abb","name","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","name_midfile","geo_id","population","x2020_urban_pop","x2020_pct_urban_pop","npl_person","avg_npl_person"
"1","VA","virginia",39392,2020,26563639000,7243127000,8847384000,28413000,133738000,0,4559932000,0,1255256000,0,338027000,7012054000,21554521000,1472992000,28117362000,4460917000,53696012000,0,0,0,58156929000,NA,51,8631384,6528313,75.6345238827615,528,2000
"2","ND","north dakota",1241002,2020,7875818413,1555235000,2831570421,55478000,0,1142684000,887491111,27458900,41406907,0,81775000,2232888564,2532493818,20032651,5351741817,2303984632,7833172218,251626000,0,0,10137156850,NA,38,779091,474989,60.9668409716928,1139,2000
"3","PA","pennsylvania",37697,2020,79810308000,15914699000,24454368000,95226000,0,0,15342810000,0,17054721000,0,868402000,17556604000,53054310000,45067000,38680731000,-1533014000,110869726000,0,0,0,109336712000,NA,42,13002689,9941070,76.4538903458512,1180,2000
"4","TN","tennessee",38453,2020,9697381000,1949715000,4732523000,14782000,0,120996000,988950000,28730000,1272523000,0,325088000,3999999000,17153863000,948533000,17253158000,1962460000,37393093000,0,0,0,39355553000,NA,47,6910786,4577282,66.2333667108485,143,2000
"5","TX","texas",38611,2020,250250365000,59721954000,36689788000,275732000,2389422000,0,67084585000,0,76983152000,0,2035843000,39005005000,97454099000,197702000,63331858000,1198696000,198789968000,0,0,0,199988664000,NA,48,29145428,24400697,83.7202752191118,2302,2000
"6","AR","arkansas",49082,2020,13143393000,3479695000,2375534000,207426000,0,164779000,2300436000,0,2914449000,0,290683000,4474287000,11049100000,635254000,9679688000,1030045000,24808284000,0,0,0,25838329000,NA,5,3011555,1670677,55.476131022034,764,2000
"7","OH","ohio",36835,2020,55081480000,18440406000,11508828000,27189000,0,0,4641754000,0,3330409000,0,561516000,12270461000,37245759000,1509920000,28098861000,79479000,79045522000,0,1792931000,0,79125001000,NA,39,11799374,9001099,76.2840685428674,393,2000
"8","WI","wisconsin",39818,2020,28548691000,13146569000,10066495000,104866000,0,320570000,0,895288646,1204453000,131142354,2593896000,9430871000,14118622000,1100627000,19642895000,1972248000,42320767000,0,0,0,44293015000,NA,55,5893725,3953691,67.0831383517162,0,2000
"9","WV","west virginia",39745,2020,13162213000,3476438000,463785000,242098000,0,0,2997962000,96703000,1067763000,0,93744000,1469082000,5511368000,343682000,7182202000,-161705000,14668039000,0,0,0,14506334000,NA,54,1793755,800857,44.647926427595,1671,2000
"10","ME","maine",33873,2020,8836880000,1035733000,1208211000,53722000,320193000,0,2391652000,8502000,2445774000,0,62720000,1285237000,4896529000,0,4443824000,-37289000,10662879000,148287000,42756000,0,10625590000,NA,23,1362341,526309,38.6321813853764,1756,2000
"11","FL","florida",32221,2020,72860317000,17305365000,9369672000,0,0,22403000,8789980000,0,9146494000,0,805146000,20325056000,41518305000,2091029000,41905154000,1567146000,104272398000,1121422000,69824000,302342000,105839544000,NA,12,21538226,19714806,91.534194591216,408,2000
"12","NC","north carolina",40620,2020,29040557000,7932866000,9927529000,10750000,0,221862000,2660223000,0,6130058000,8135000,619350000,6171045000,23947517000,1331941000,28188892000,2471300000,57168095000,0,0,0,59639395000,NA,37,10439414,6964727,66.7158553738974,255,2000
"13","NE","nebraska",35432,2020,3728215000,0,2771920000,31430000,0,0,375193000,120708000,14816000,0,135694000,1527307000,3271794000,3220000,6306484000,346700000,10762105000,0,0,0,11108805000,NA,31,1961489,1432003,73.005357113725,191,2000
"14","ID","idaho",32673,2020,4075441000,899750000,1895009000,18317000,0,485099000,301989000,0,117490000,0,81981000,2135147000,4734215000,44547000,4969301000,1088114000,10795096000,663124000,159593000,37102000,11883210000,NA,16,1839092,1273437,69.2421752742909,164,2000
"15","SD","south dakota",38382,2020,2421365000,498066000,1637259000,133352000,0,0,0,2196000,0,0,99061000,756410000,2180217000,16780000,2047990000,371866000,4629531000,0,0,0,5001397000,NA,46,886677,507347,57.2195649550508,0,2000
"16","SC","south carolina",38235,2020,15642105000,1971160000,5251471000,2267000,0,96170000,4024660000,0,3135126000,0,211882000,4507475000,12054994000,958867000,14279224000,2622328000,29178232000,0,0,0,31800560000,NA,45,5118429,3477869,67.948030888408,786,2000
"17","OR","oregon",37525,2020,24144226000,11779762000,5709342000,7208000,70003000,304323000,3852015000,0,127778000,44077000,298326000,5411052000,16176680000,19985000,13686491000,-549821000,35844029000,49293000,13635000,0,35294208000,NA,41,4237291,3410984,80.4998329107328,909,2000
"18","MN","minnesota",34704,2020,23927324000,8483013000,6463164000,57053000,65223000,0,3107663000,0,630967000,0,527476000,4647960000,17612607000,238637000,27491111000,-14485000,50004800000,0,0,0,49990315000,NA,27,5706504,4101754,71.878705208487,545,2000
"19","KS","kansas",33447,2020,9981002000,4348467000,2543938000,238007000,0,8314000,1904166000,0,49824000,0,119287000,1945942000,4752820000,67716000,10835678000,460590000,17141566000,0,0,0,17602156000,NA,20,2937847,2124059,72.2990387626452,648,2000
"20","MO","missouri",148599,2020,19395710000,2637727000,3812318000,42063000,0,0,7102432000,0,2966040000,0,195681000,3455955000,15158023000,887705000,12916859000,1001718000,31416824000,1526247,3041,0,32418542000,NA,29,6154920,4275663,69.4674806938782,1154,2000
"21","KY","kentucky",90208,2020,41600354000,5973758000,3746164000,88051000,404919000,691490000,25870784000,0,3017085000,0,266573000,3884857000,12125363000,994683000,16654065000,2703433000,30955535000,40929000,0,0,33658968000,NA,21,4505893,2644856,58.6984524070561,5742,2000
"22","AK","alaska",31574,2020,14129014000,668042000,5911223000,229730000,672105000,6563000,4675738000,18712000,106537000,118886000,185848000,1770780000,3302210000,791135000,3240394000,-1133281000,10237800000,0,0,0,9104519000,NA,2,733378,475967,64.899487449396,6376,2000
"23","NJ","new jersey",40624,2020,213903087870,25401600000,7930629785,225300000,1279400000,1500000000,90812068247,200901,65491562252,0,491700000,10776148886,26141554978,118675957,36579660534,-1891550540,75507590895,0,0,0,73616040355,NA,34,9289031,8708779,93.7537369493403,9776,2000
"24","NH","new hampshire",35545,2020,6048361000,1228878000,1671862000,17018000,2815000,174917000,941421000,0,1793348000,0,106978000,2362105000,3645391000,208728000,2466630000,-162851000,8845705000,130913,5406,5,8682854000,NA,33,1377518,803420,58.323273049061,683,2000
"25","NY","new york",42220,2020,188872000000,2266000000,42103000000,26000000,1832000000,0,4237000000,15000000,66006000000,1000000,1358000000,31613000000,72326000000,1392000000,84658000000,-1154000000,191143000000,0,0,0,189989000000,NA,36,20201230,17665166,87.4459099038876,210,2000
"26","WA","washington",39528,2020,84090857000,26732746000,9561046000,13057000,0,0,3338862000,0,5799742000,0,910960000,18206009000,23308319000,819304000,30275912000,-1631384000,74240928000,0,0,0,72609544000,NA,53,7705247,6424035,83.3718458807667,433,2000
"27","RI","rhode island",38202,2020,9830412000,3138775000,2218816000,170362000,0,10000000,3673476000,0,425747000,7238000,91960000,1910514000,4169776000,288421000,3863435000,-75490000,10307636000,0,0,0,10232146000,NA,44,1097371,999191,91.0524987265111,3348,2000
"28","NV","nevada",35504,2020,10676834000,2994689000,4013010000,11267000,0,0,2290134000,0,810288000,0,118600000,1041680000,9544787000,27732000,6156975000,-384633000,17155807000,0,0,0,16771174000,NA,32,3104624,2921203,94.0923090599991,738,2000
