"","state.abb","name","government_ID","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","population","geoID"
"1","IN","indiana",NA,196751,2021,18873711000,0,6347078000,762395000,0,0,11392203000,0,98219000,0,207820000,4058834000,20093246000,1326554000,26144484000,4656050000,46967068000,0,0,0,51623118000,6788799,""
"2","OH","ohio",NA,36835,2021,56784830000,18697205000,18006191000,42311000,0,0,3644138000,0,633413000,0,625038000,14517870000,52902201000,1485791000,30541423000,4157517000,95289768000,1176954000,3464053000,0,99447285000,11797517,""
"3","PA","pennsylvania",NA,37697,2021,88111700000,16320590000,26705351000,1305215000,0,0,15638886000,0,20243943000,0,934388000,18719759000,65151841000,101626000,43951447000,7610221000,120314452000,0,0,0,127924673000,12994440,""
"4","VA","virginia",NA,39392,2021,34379093000,7505396000,15040531000,27768000,185545000,0,5234981000,0,1230725000,0,361096000,9008984000,27209018000,1467020000,31800293000,4576192000,64909123000,0,0,0,69485315000,8636471,""
"5","ME","maine",NA,33873,2021,9546245000,1056847000,1112683000,49487000,336993000,0,2692100000,5039000,2931246000,0,69304000,1388919000,6144073000,0,5501227000,885974000,12148245000,137068000,19379000,0,13034219000,1363557,""
"6","NC","north carolina",NA,40620,2021,29389268000,8983578000,9474875000,8320000,0,226176000,3122174000,0,5429965000,9458000,623072000,7609299000,30448288000,1302560000,35874093000,9162555000,66071685000,0,0,0,75234240000,10449445,""
"7","TN","tennessee",NA,38453,2021,9053756000,1771713000,3985378000,11904000,0,207343000,1638313000,24146000,561603000,0,348948000,4202933000,21497865000,844303000,19508989000,4674653000,41379437000,0,0,0,46054090000,6925619,""
"8","SD","south dakota",NA,38382,2021,1472340000,556179000,636370000,108922000,0,0,0,898000,0,0,70074000,873505000,3298087000,7965000,2400676000,746622000,5833611000,0,0,0,6580233000,887799,""
"9","ID","idaho",NA,32673,2021,4619378000,829328000,1949499000,16849000,0,497437000,564007000,0,100958000,0,90481000,2570196000,6365283000,31449000,5847083000,2084319000,12729692000,0,0,0,14814011000,1849202,""
"10","MN","minnesota",NA,34704,2021,24774908000,8332095000,7261740000,45411000,1199325000,0,3239396000,0,687901000,0,561800000,4559912000,24558683000,222208000,30655996000,3270804000,56725995000,0,0,0,59996799000,5709852,""
