"","state.abb","name","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","name_midfile","geo_id","population","x2020_urban_pop","x2020_pct_urban_pop"
"1","IN","indiana",196751,2022,18375927000,0,7430648000,0,0,0,9781677000,51213000,70133000,9290000,209060000,4062056000,21355055000,1540945000,24840303000,4956473000,46841886000,0,0,0,51798359000,NA,"18",6785668,4829686,71.1762739760266
"2","NY","new york",42220,2022,245485000000,4399000000,81459000000,0,0,0,513000000,0,67729000000,17000000,1752000000,46313000000,122867000000,1268000000,128433000000,20158000000,278723000000,0,0,0,298881000000,NA,"36",20201230,17665166,87.4459099038876
"3","WV","west virginia",39745,2022,10321618000,3437851000,749918000,0,0,0,1468673000,719137000,0,18945000,94842000,1522680000,9142136000,554425000,7708385000,2683913000,16243713000,0,0,0,18927626000,NA,"54",1793755,800857,44.647926427595
"4","CO","colorado",31946,2022,37103515000,4903124000,14785219000,0,0,999002000,8410864000,0,1567351000,0,704550000,11037507000,18411867000,757604000,16872815000,2019728000,45060065000,0,0,0,47079793000,NA,"08",5773733,4966936,86.0267065531822
"5","VA","virginia",39392,2022,35033174000,8126356000,16777683000,0,188420000,0,2823571000,0,1063130000,0,347462000,9382820000,26441696000,1577420000,36102512000,8582227000,64922221000,3752416000,0,0,73504448000,NA,"51",8631384,6528313,75.6345238827615
"6","PA","pennsylvania",37697,2022,76883947000,15148106000,20465022000,0,0,0,12550399000,0,19492810000,0,962177000,19033052000,56304970000,66189000,49580644000,16981108000,108003747000,0,0,0,124984855000,NA,"42",13002689,9941070,76.4538903458512
"7","UT","utah",39282,2022,6450339000,2609935000,3096536000,0,0,3794000,927000,288012000,2012000,353000,231060000,3054759000,7088461000,104400000,14130065000,5589602000,18788083000,0,0,0,24377685000,NA,"49",3271614,2937303,89.7814107768149
"8","CT","connecticut",149448,2022,97471207000,29766162000,7972469000,0,175287000,0,36132877000,0,20916477000,0,721487000,7369199000,13230978000,917581000,22840206000,3779102000,40578862000,0,0,0,44357964000,NA,"09",3605942,3110153,86.2507293513155
"9","TX","texas",38611,2022,221174854000,60559197000,41312562000,0,3090029000,0,30883865000,0,77666435000,0,2168494000,47916624000,112644610000,335437000,86938325000,46971400000,200863596000,0,0,0,247834996000,NA,"48",29145428,24400697,83.7202752191118
"10","AR","arkansas",49082,2022,10589316000,3114727000,2815654000,0,0,136208000,809251000,0,1556019000,0,480268000,4923420000,12593875000,844928000,11188907000,3653398000,25897732000,0,0,0,29551130000,NA,"05",3011555,1670677,55.476131022034
"11","DE","delaware",32212,2022,17470769000,3829645600,2150773500,0,266615000,0,392347000,1215401000,9319243000,0,226132200,2292631000,4389495000,0,6602746000,1829465000,11455407000,0,0,0,13284872000,NA,"10",989957,817817,82.6121170000849
"12","FL","florida",32221,2022,61828638000,17905758000,11499144000,0,0,5502000,3506978000,0,7283350000,0,811959000,22079790000,52999023000,1850388000,55983829000,25846886000,107066144000,1302488000,2047000,681770000,132913030000,NA,"12",21538226,19714806,91.534194591216
"13","KY","kentucky",90208,2022,38790928000,5106850000,3063688000,0,0,550050000,25034578000,0,2761751000,0,275672000,4236899000,17974786000,1028150000,17906104000,8207294000,32938645000,0,0,0,41145939000,NA,"21",4505893,2644856,58.6984524070561
"14","KS","kansas",33447,2022,10127943000,3925041000,3327238000,0,0,0,1688067000,0,51820000,0,117062000,2007191000,7460619000,149728000,14027659000,2550496000,21094701000,0,0,0,23645197000,NA,"20",2937847,2124059,72.2990387626452
"15","ME","maine",33873,2022,8461350000,986000000,1504499000,0,270449000,0,1413826000,20087000,2577091000,0,72214000,1466454000,5730683000,0,6371819000,627644000,12941312000,0,0,0,13568956000,NA,"23",1362341,526309,38.6321813853764
"16","MN","minnesota",34704,2022,22917985000,8749227000,8517624000,0,67173000,0,1692383000,0,721365000,0,567430000,4604280000,23012633000,198458000,34293460000,10729064000,51379767000,0,0,0,62108831000,NA,"27",5706504,4101754,71.878705208487
