"","state.abb","name","government_id","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geo_id","name_midfile","name_census","population"
"1","AZ","scottsdale","03200701100000",31637,2021,1719985000,985338000,106185000,1799000,0,0,421583000,0,1923000,0,33927000,256516000,52751000,339814000,439657000,443746000,644992000,0,0,0,1088738000,"0465000","city of scottsdale","scottsdale city",241339
"2","AZ","mesa","03200700800000",31634,2021,4282895000,1932351000,345738000,0,0,1285000,1014811000,0,953762000,0,34949000,505109000,101375000,45415000,571600000,52246000,1171253000,0,0,0,1223499000,"0446000","city of mesa","mesa city",504300
"3","AZ","tucson","03201000200000",31644,2021,3382060447,613720192,268899451,10533273,26851862,0,1291047640,0,212813304,0,52396915,436980206,258542441,114021672,636946327,304253927,1142236719,0,0,0,1446490646,"0477000","city of tucson","tucson city",542656
"4","CA","modesto","05205000200000",31888,2021,924422665,274770722,135118423,4104503,28100033,1282000,364250642,0,30427400,0,12275660,209083826,41321509,66497608,194423077,120984162,390341858,0,0,0,511326020,"0648354","city of modesto","modesto city",218467
"5","CA","oakland","05200100900000",31740,2021,4186217000,815113000,470545000,28842000,0,0,1801374000,0,842836000,0,58115000,240232000,206509000,3178000,1032523000,159185000,1323257000,0,0,0,1482442000,"0653000","city of oakland","oakland city",440660
"6","CA","moreno valley","05203340100000",31838,2021,264594470,75407394,65890232,7120146,0,0,77591423,0,9047518,0,7046757,81060200,35300473,28432204,116861022,45380892,216273007,39773913,380035,0,261653899,"0649270","city of moreno valley","moreno valley city",208640
"7","CA","riverside","05203301200000",31836,2021,2634527000,1731664000,169564000,17276000,457000,64678000,229566000,0,52276000,0,42906000,589373000,68381000,40557000,288936000,20496000,966751000,0,0,0,987247000,"0662000","city of riverside","riverside city",315014
"8","CA","san jose",NA,101868,2021,7908010000,2310580000,586017000,0,733000,278657000,3591797000,0,864874000,1062000,96286000,1094632000,306679000,114096000,1211457000,-238056000,2964920000,0,0,0,2726864000,"0668000",NA,"san jose city",1013221
"9","AZ","chandler","03200700300000",31633,2021,1014689233,533634364,63516870,0,0,0,316219876,0,63003983,0,15088278,207153580,26659645,30929214,304246854,25690296,543298997,0,0,0,568989293,"0412000","city of chandler","chandler city",276010
"10","FL","st petersburg","10205202000000",32314,2021,1459810343,804019000,88765560,5146000,0,93735000,115587405,16268755,256867376,0,28634000,343744042,27084983,8669465,310801563,70430621,619869432,0,0,0,690300053,"1263000","city of st petersburg","st petersburg city",258356
"11","ID","boise","13200100100000",32682,2021,224705000,122279000,77747000,960000,0,0,0,101251000,15036000,0,8683000,211744000,31395000,46814000,165306000,92708000,362551000,0,0,0,455259000,"1608830","city of boise","boise city city",235712
"12","NC","durham","34203200100000",36706,2021,1021315269,583769527,94664449,0,22472000,0,114942996,0,164490386,0,25797782,181238487,62230071,41106706,303275321,110220252,477630333,0,0,0,587850585,"3719000","city of durham","durham city",283588
"13","NC","greensboro","34204100200000",36710,2021,1237340836,798854077,132626016,15472735,894000,0,114198568,0,124450254,0,8292297,187525380,32446520,27510505,307091747,27736284,526837868,0,0,0,554574152,"3728000","city of greensboro","greensboro city",299101
"14","NC","winston-salem","34203400200000",36708,2021,1115603455,648128992,81592368,0,0,0,80074722,0,0,12099186,17313914,179974354,28853239,18775477,272303101,112989316,386916855,0,0,0,499906171,"3775000","city of winston-salem","winston-salem city",249562
"15","NC","charlotte","34206000100000",36713,2021,6817711000,3655140000,495567000,0,37759000,255861000,1019687000,0,227624000,42758000,90754000,918042000,384777000,229234000,950838000,270715000,2212176000,0,0,0,2482891000,"3712000","city of charlotte","charlotte city",874607
"16","NM","albuquerque","32200100100000",35917,2021,2493805208,873392404,192010899,0,17891418,0,904300000,0,314556997,0,50009598,203316874,146336303,91437652,783708720,131111202,1093688347,0,0,0,1224799549,"3502000","city of albuquerque","albuquerque city",564581
"17","NV","las vegas","29200200200000",35519,2021,1828903547,605078011,148864241,1343549,0,0,873504531,0,55725322,0,48520133,342497540,69531972,299816517,505694087,191472475,1026067641,0,0,0,1217540116,"3240000","city of las vegas","las vegas city",644866
