"","state.abb","name","population","id","missing_2020","missing_2021","Notes","source"
"1","TX","anderson county",57926,88052,"","","",""
"2","TX","andrews county",18617,88054,"","missing","",""
"3","TX","angelina county",86376,38612,"","","",""
"4","TX","aransas county",23932,44983,"","","",""
"5","TX","archer county",8554,129351,"","","",""
"6","TX","armstrong county",1849,NA,"missing","missing","uploaded files to portal","https://www.co.armstrong.tx.us/page/armstrong.AUDIT"
"7","TX","atascosa county",49134,88059,"","","",""
"8","TX","austin county",30131,88061,"","","",""
"9","TX","bailey county",6868,129353,"","","",""
"10","TX","bandera county",20992,88067,"","","",""
"11","TX","bastrop county",98046,38613,"","","",""
"12","TX","baylor county",3461,NA,"missing","missing","can't find",""
"13","TX","bee county",31049,1240953,"","","",""
"14","TX","bell county",372229,38614,"","","",""
"15","TX","bexar county",2015369,38615,"","","",""
"16","TX","blanco county",11450,88083,"","","uploaded files to portal",""
"17","TX","borden county",641,NA,"missing","missing","only 2019, no statement of net position","https://www.co.borden.tx.us/upload/page/1383/Borden%20County%202019%20Financial%20Audit%20072220.pdf"
"18","TX","bosque county",18245,88087,"","missing","only 2020",""
"19","TX","bowie county",92924,65055,"","","",""
"20","TX","brazoria county",373481,38616,"","","",""
"21","TX","brazos county",234486,38617,"","","",""
"22","TX","brewster county",9553,NA,"missing","missing","only available till 2018","http://www.brewstercountytx.com/financial-transparency/audit/"
"23","TX","briscoe county",1419,NA,"missing","missing","can't find",""
"24","TX","brooks county",7057,NA,"missing","missing","only 2018","https://www.co.brooks.tx.us/page/brooks.Audit"
"25","TX","brown county",38048,88094,"","missing","",""
"26","TX","burleson county",17680,129357,"","","uploaded files to portal",""
"27","TX","burnet county",49473,129358,"","","",""
"28","TX","caldwell county",45949,88099,"","","",""
"29","TX","calhoun county",20063,58651,"","","",""
"30","TX","callahan county",13744,NA,"missing","missing","only 2021",""
"31","TX","cameron county",421445,38619,"","","",""
"32","TX","camp county",12427,88103,"","","uploaded files to portal","https://www.co.camp.tx.us/page/camp.Budgets"
"33","TX","carson county",5791,NA,"missing","missing","uploaded files to portal","https://www.co.carson.tx.us/page/carson.Budgets"
"34","TX","cass county",28436,109838,"","missing","",""
"35","TX","castro county",7336,129360,"","missing","",""
"36","TX","chambers county",47025,38620,"","","",""
"37","TX","cherokee county",50488,NA,"missing","missing","uploaded files to portal","https://www.co.cherokee.tx.us/ips/cms/Financial_Reports/AnnualFinancials/index.html"
"38","TX","childress county",6662,129361,"","missing","",""
"39","TX","clay county",10250,98536,"","missing","only 2020",""
"40","TX","cochran county",2557,NA,"missing","missing","uploaded files to portal","https://www.co.cochran.tx.us/page/cochran.AuditedFinancial"
"41","TX","coke county",3295,129363,"","missing","",""
