"","state.abb","name","population"
"1","TX","armstrong county",1849
"2","TX","carson county",5791
"3","TX","cherokee county",50488
"4","TX","cochran county",2557
"5","TX","concho county",3303
"6","TX","cottle county",1364
"7","TX","crockett county",3094
"8","TX","fisher county",3676
"9","TX","glasscock county",1117
"10","TX","hardin county",56344
"11","TX","hemphill county",3363
"12","TX","lampasas county",21707
"13","TX","lipscomb county",3036
"14","TX","roberts county",822
"15","TX","wheeler county",4976
"16","TX","yoakum county",7675
